,TITLE
159,"Intermediality, Transmediality, Multimodality and Intersemiotic Translation"
161,Tradução multinível de poesia e a solução de um problema situado e mal definido
156,Identificação computacional de estruturas métricas de versificação na prosa de Euclides da Cunha / Computational identification of versification metric structures in Euclides da Cunha?s prose
171,Sobre a (Bio)semiotic theory of translation
170,Inventando fotolivros de literatura
167,Photobook Phenomenon: an interview with Moritz Neumüller
166,Os Sertões de Euclides da Cunha: a intervenção de uma 'tecnografia' intermidiática e multimodal
165,Nicho de artefatos semióticos e externalismo cognitivo
164,Gestures as diagrams from Peirce's mature semeiotic
163,Intersemiotic translation as a cognitive artifact - from Webern s serialism to concrete poetry
162,O externalismo semiótico ativo de C.S.Peirce e a cantoria de viola como signo em ação
168,"Poetamenos, de Augusto de Campos: uma transcriação intersemiótica da Klangfarbenmelodie, de Anton Von Webern"
173,Transcriação e crítica literária: Haroldo de Campos e o papel epistêmico do ícone
172,"Processes, artifacts, and semiosis"
169,Semiotic relation in literary photobooks: the case of Leminski s Quarenta Clics em Curitiba
