ID,Docente
4488013441080182,ROSANE PRECIOSA SEQUEIRA
8693017792087928,ROSANGELA PEREIRA DE TUGNY
3599603278609656,ROSVITA KOLB BERNARDES
4236379426483362,SERGIO DE FIGUEIREDO ROCHA
9719486329750422,SERGIO FREIRE GARCIA
1273787600427338,STEFANO PASCHOAL
2582613400358249,STELA REGINA FISCHER
8439378198120294,STEPHAN ARNULF BAUMGARTEL
3827255304233580,THERESA CHRISTINA BARBOSA DE MEDEIROS
4339892040710332,WELLINGTON MENEGAZ DE PAULA
