,TITLE
0,Synthetic approach of symbolic creatures
4,Symbolic Communication in Artificial Creatures: an experiment in Artificial Life
3,Síntese de criaturas simbólicas: um experimento em Vida Artificial
2,Symbols are not uniquely human
1,Semiótica Sintética: sobre a síntese de criaturas simbólicas artificiais
5,Emergence of self-organized symbol-based communication in artificial creatures
6,In the roots of the Symbol Grounding Problem
7,Self-Organization and Peirce?s Notion of Communication and Semiosis
9,Aplicação e Avaliação do Método PBL em Um Componente Curricular Integrado de Programação de Computadores
8,Aplicação do Jogo Eletrônico Calangos no Ensino do Conceito de Nicho Ecológico
14,Modeling a Virtual World for the Educational Game Calangos
10,Automated Fuzzy System Based on Feature Extraction and Selection for Opinion Classification Across Different Domains
11,Consideraciones didácticas para el desarrollo de actividades de modelización sobre termorregulación en animales apoyadas en el videojuego calangos
12,On redundant coverage maximization in wireless visual sensor networks: Evolutionary algorithms for multi-objective optimization
13,Identificação computacional de estruturas métricas de versificação na prosa literária de Euclides da Cunha
