INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Escola Técnica Estadual de Teatro Martins Penna,2006,07,07,07,,OUTRO,['expressão corporal nível IV']
Universidade Federal do Ceará,2011,04,04,04,Teatro,GRADUACAO,['Educação Teatral - Metodologias e Tendências']
Universidade Federal do Ceará,2011,04,04,04,Teatro,GRADUACAO,['Iniciativas em Teatro Educação']
Universidade Federal do Ceará,2012,04,04,04,Teatro,GRADUACAO,['Estágio I']
Universidade Federal do Ceará,2012,04,04,04,Teatro,GRADUACAO,['Estágio II']
Universidade Federal do Ceará,2012,04,04,04,Teatro,GRADUACAO,"['Metodologia de Pesquisa em Artes, Filosofia e Ciências']"
Universidade Federal de São João Del-Rei,2013,,ATUAL,ATUAL,Teatro,GRADUACAO,"['Estágio em espaços de educação não formal - Aspectos políticos da docência em teatro', 'Estágio em espaços de educação não formal ? disseminação da educação teatral', 'Estágio em espaços de educação não formal ? iniciativas em educação teatral', 'Estágio em espaços formais de educação', 'Estágio em espaços formais de educação ? ensino fundamental', 'Estágio em espaços não formais de educação']"
Universidade Federal de São João Del-Rei,2013,,ATUAL,ATUAL,Teatro,GRADUACAO,"['Teorias e Práticas do Ensino de Teatro ? Jogos na Educação ? O jogo vira cena', 'Teorias e Práticas do Ensino de Teatro ? Pedagogia do Teatro ? Espaços de educação formal', 'Teorias e Práticas do Ensino de Teatro ? Pedagogia do Teatro ? Inteligências teatrais no ambiente escolar', 'Teorias e Práticas do Ensino de Teatro ? Pedagogia do Teatro ? Percepções teatrais no ambiente escolar', 'Teorias e Práticas do Ensino de Teatro ? Políticas Públicas em Educação e Cultura']"
Universidade Federal de São João Del-Rei,2013,,ATUAL,ATUAL,Teatro,GRADUACAO,"['Introdução a práticas de Atuação ? Improvisação ? Licenciatura', 'Introdução a práticas de Atuação ? Improvisação ? Bacharelado', 'Introdução a práticas de Atuação ? Improvisação cênica ? Natureza e Fundamentos ? Licenciatura', 'Introdução a práticas de Atuação ? Improvisação cênica ? Natureza e Fundamentos ? Bacharelado', 'Prática de Atuação ? Teorias e Métodos de Atuação cênica ? Grotowski - Licenciatura', 'Prática de Atuação ? Teorias e Métodos de Atuação cênica ? Grotowski - Bacharelado']"
Universidade Federal de São João Del-Rei,2018,07,07,07,Artes Cênicas,POS-GRADUACAO,['tópicos variados em treinamentos e pedagogia das artes cênicas ? Técnicas de atuação e transformação pessoal']
