TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Pianobricando,1993,Afar,VAZIO,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago']","['1', '2']",['1']
Material didático do projeto Música na Escola,1997,Português,VAZIO,"['Carlos Kater', 'Rosa Lúsica dos mares Guia', 'Matheus Braga', 'Maria Betânia Parizzi Fonseca', 'José Adolfo Moura']","['1', '2', '3', '4', '5']",['4']
Música na Escola -  Jogos e  Instrumentos,2009,Português,VAZIO,"['Carlos Kater', 'José Adolfo Moura', 'Maria Betânia Parizzi Fonseca', 'Rosa Lúsica dos mares Guia', 'Maria Amália Martins', 'Matheus Braga']","['1', '2', '3', '4', '5', '6']",['3']
Música na Escola Regular Volume I,2012,Português,VAZIO,"['Patrícia Furst Santiago', 'Maria Betânia Parizzi Fonseca']","['1', '2']",['2']
Musica na Escola Regular Volume II,2014,Português,VAZIO,"['Patrícia Furst Santiago', 'Maria Betânia Parizzi Fonseca']","['1', '2']",['2']
Processos Criativos em Educação Musical - Homenagem a Koellreutter,2015,Português,VAZIO,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago']","['1', '2']",['1']
Musicalização na Escola Regular Formando Professores e Crianças,2016,Português,VAZIO,"['Patrícia Furst Santiago', 'Maria Betânia Parizzi Fonseca']","['1', '2']",['2']
Corporeidade e Educação Musical,2017,Português,VAZIO,"['Patrícia Furst Santiago', 'Maria Betânia Parizzi Fonseca', 'Jussara Fernandino']","['1', '2', '3']",['2']
Musiquês... É  uma língua ou uma música?,2018,Português,VAZIO,"['Maria Betânia Parizzi Fonseca', 'João Gabriel Marques Fonseca']","['1', '2']",['1']
PianoBrincando,2020,Português,VAZIO,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago']","['1', '2']",['1']
Música: conversas com o professor do ensino médio,2020,Malgaxe,VAZIO,['Maria Betânia Parizzi Fonseca'],['1'],['1']
PianoBrincando Manual do professor,2021,Malgaxe,VAZIO,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago']","['1', '2']",['1']
Conto enquanto Canto,2021,Português,VAZIO,"['Marisa Trench de Oliveira Fonterrada', 'Maria Betânia Parizzi Fonseca']","['1', '2']",['2']
O bebê e a música,2020,Português,VAZIO,"['Maria Betânia Parizzi Fonseca', 'Helena Maria Rodrigues']","['1', '2']",['1']
