TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Objetos difíceis,2004,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
Fora-de-quadro,2005,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
Peso morto,2008,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
Corpos Cegos,2012,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
Bela Lugosi no ateliê de Kandinski,2013,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
A mímica invertida dos desaparecidos,2014,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
Acidentes de Leitura,2015,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
Poemas/Georges Bataille,2015,Português,VAZIO,"['Alexandre Rodrigues da Costa', 'Vera Casa Nova']","['1', '2']",['1']
Caminhos desconhecidos: olhares diversos sobre a arte contemporânea,2018,Português,VAZIO,"['Alexandre Rodrigues da Costa', 'Celina Figueiredo Lage']","['1', '2']",['1']
"Do outro lado, sedimentos ou até onde a vista alcança",2018,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
Corpos labirínticos: textos de Hans Bellmer,2019,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
A transfiguração do olhar: um estudo das relações entre artes visuais e literatura em Rainer Maria Rilke e Clarice Lispector,2019,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
Como assistir a um road movie em pé,2016,Português,VAZIO,['Alexandre Rodrigues da Costa'],['1'],['1']
