TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Chapeuzinho Amarelo: uma experiência com teatro de bonecos em uma escola de segundo grau,1981,,Português,Revista Mamulengo,XX,-,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
"Lotus Lobo: a letra como marca, a marca da letra",2003,,Português,Cultura Visual,XX,1516-893X,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Pedras que contam história,2004,,Português,Ciência Hoje,C,0101-8515,"['Maria do Carmo de Freitas Veneroso', 'Karen Bohórquez']","['1', '2']",['1'],-99
"Livro: impressão, texto, imagem. Diálogo entre as artes - A oficina como um jogo",2004,,Português,Revista do Instituto Arte das Américas,XX,1679-091X,"['Maria do Carmo de Freitas Veneroso', 'Wilson Teixeira de Avellar']","['1', '2']",['1'],-99
Cenário do artista público,2005,,Português,Jornal Estado de Minas/Caderno PENSAR,XX,-,"['Maria do Carmo de Freitas Veneroso', 'Fernando Pedro da Silva']","['1', '2']",['1'],-99
O avanço da pesquisa em arte/sobre arte na pós-graduação: o Doutorado na Escola de Belas Artes da UFMG,2005,,Português,Boletim da Universidade Federal de Minas Gerais,XX,-,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
A intervenção urbana como texto que escreve a cidade,2006,,Português,Revista do Instituto Arte das Américas,XX,1679-091X,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
O diálogo imagem-palavra na arte do século XX: as colagens cubistas de Pablo Picasso e sua relação intertextual com os caligramas de Guillaume Apollinaire,2008,,Português,Aletria (UFMG),XX,1679-3749,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Perspectives of the Artist's Book: a report,2011,,Português,The Journal of Artists' Books,XX,1085-1461,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Caligrafias e Escrituras: diálogo e intertexto no processo escritural nas artes no século XX,2002,,Português,Em Tese (Belo Horizonte. Impresso),XX,1415-594X,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Palavras e imagens em Livros de Artista,2012,,Português,Pós: Revista do Programa de Pós-Graduação em Artes,A3,1982-9507,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Perspectivas do Livro de Artista: um relato,2012,,Português,Pós: Revista do Programa de Pós-Graduação em Artes,A3,1982-9507,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
O livro de artista hoje: apontamentos a partir da exposição Livro/Obra,2012,,Português,Pós: Revista do Programa de Pós-Graduação em Artes,A3,1982-9507,"['Maria do Carmo de Freitas Veneroso', 'Amir Brito Cadôr']","['1', '2']",['1'],-99
Arlindo Daibert: o livro como morada das palavras e das ideias,2013,,Português,"Revista :ESTÚDIO, artistas sobre outras obras",XX,1647-7316,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
O campo ampliado da gravura: suas interseções e contrapontos com a escrita e a imagem no contexto da arte contemporânea,2013,,Português,Porto Arte (UFRGS),A3,0103-7269,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Apontamentos sobre Paulo Nazareth como um 'locatário da cultura',2014,,Português,"Revista :ESTÚDIO, artistas sobre outras obras",XX,1647-7316,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
"O campo ampliado da gravura: continuidades, rupturas, cruzamentos e contaminações",2014,,Português,ARJ - Art Research Journal,A3,2357-9978,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Notas sobre Paulo Nazareth: abordagens sobre a água,2013,,Português,Revista da Universidade Federal de Minas Gerais,B4,2316-770X,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
A 'Revista Classificada' de Paulo Bruscky,2015,,Português,"Revista :ESTÚDIO, artistas sobre outras obras",XX,1647-7316,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
O encontro do imaginário no diálogo entre a obra Unheimlich de Walmor Corrêa e a Histoire Naturelle de Buffon: uma aproximação entre arte e ciência,2016,,Português,Estudio,B1,1647-6158,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Livros de artista e livros raros: aproximações,2017,,Português,Perspectivas em Ciência da Informação (on line),A2,1981-5344,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Lendo imagens ou vendo palavras: o cerrado através dos escritos e da gestualidade de Liliane Dardot,2019,,Português,REVISTA CROMA,C,2182-8547,"['Maria do Carmo de Freitas Veneroso', 'Adriana Gomes Penido']","['1', '2']",['1'],-99
"Circulação, recepção e apropriação do método de ensino do desenho de Louise Artus-Perrelet",2020,10.35699/2237-5864.2020.20508,Português,Pós: Revista do Programa de Pós-graduação em Artes da Escola de Belas Artes da UFMG,A3,1982-9507,"['ALMEIDA, MARILENE OLIVEIRA', 'Maria do Carmo de Freitas Veneroso', 'CAMPOS, REGINA HELENA DE FREITAS']","['1', '2', '3']",['2'],-99
Diagrama da impressão e suas conexões com a palavra e a imagem,2021,10.24220/2595-9557,Português,Pós-Limiar,B4,2595-9557,['Maria do Carmo de Freitas Veneroso'],['1'],['1'],-99
Livros de artista no Circuito Polímatas,2019,,Português,ABCA Jornal online - Arte e Crítica,B2,2525-2992,"['Maria do Carmo de Freitas Veneroso', 'Marília Andrés Ribeiro']","['1', '2']",['1'],-99
