INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Centro Universitário Sant'Anna,2011,06,06,06,Música,GRADUACAO,"['Arranjo', 'Harmonia e Arranjo']"
Centro Universitário Sant'Anna,2011,12,12,12,Música,GRADUACAO,"['Harmonia e Arranjo', 'Arranjo', 'Harmonia Avançada']"
Universidade Federal de São Carlos,2011,06,06,06,Música,GRADUACAO,['Criação Musical 2']
Universidade Federal de São Carlos,2011,11,11,11,Música,GRADUACAO,['Vivência em Educação Musical 10']
Universidade Federal de São Carlos,2011,09,09,09,Música,GRADUACAO,['Vivência em Educação Musical 9']
Faculdade Mozarteum de São Paulo,2011,12,12,12,Música,GRADUACAO,['Saxofone']
Centro Universitário Sant'Anna,2012,06,06,06,Música,GRADUACAO,"['Harmonia e Arranjo', 'Arranjo', 'Apreciação Musical', 'Instrumento I - Saxofone']"
Centro Universitário Sant'Anna,2012,10,10,10,Música,GRADUACAO,"['Arranjo', 'Harmonia e Arranjo', 'Instrumento I e II - Saxofone']"
Universidade Federal de São Carlos,2012,06,06,06,Música,GRADUACAO,['Estruturação e Percepção Musical 3']
Universidade Federal de Uberlândia,2012,03,03,03,Música,GRADUACAO,"['Arranjo 1 e 2', 'Improvisação Avançada', 'Improvisação Básica', 'Percepção Musical 6', 'Prática de Conjunto 1 a 8', 'Teoria da Música 2: Introdução à Harmonia']"
Universidade Federal de Uberlândia,2014,09,09,09,Música,GRADUACAO,"['Arranjo 2', 'Improvisação Básica', 'Instrumento 7 - Saxofone', 'Introdução ao Instrumento - Saxofone', 'Pesquisa em Música 3', 'Prática de Conjunto 1 a 8']"
Universidade Federal de Uberlândia,2014,03,03,03,Música,GRADUACAO,"['Literatura do Instrumento 2 - Saxofone', 'Pesquisa em Música 4', 'Prática Instrumental 1 a 7 - Saxofone']"
Universidade Federal de Uberlândia,2015,,ATUAL,ATUAL,Música,GRADUACAO,"['Saxofone I a VII; Estudo Orientado 1 a 3 - Saxofone', 'Prática Musical; Improvisação Básica a Avançada', 'Introdução ao Instrumento; Prática Instrumental 1 a 7; Instrumento 1 a 7; Técnica Instrumental 1 a 3 - Saxofone', 'Metodologia do Ensino e Aprendizagem do Instrumento 1 e 2; Literatura do Instrumento 1 e 2 - Saxofone', 'Pesquisa em Música 3 e 4; Trabalho de Conclusão de Curso', 'Prática de Conjunto 1 a 8']"
Universidade Federal de Uberlândia,2015,07,07,07,Música,GRADUACAO,"['Estudo Orientado 1 - Saxofone', 'Introdução ao Instrumento - Saxofone', 'Percepção Musical 6', 'Prática Instrumental 1 a 7 - Saxofone', 'Trabalho de Conclusão de Curso']"
Universidade Federal de Uberlândia,2018,12,12,12,Música,POS-GRADUACAO,['Tópicos Especiais em Criação e Performance em Música: Práxis da Criação em Música Popular']
Universidade Federal de Uberlândia,2020,12,12,12,Música,POS-GRADUACAO,['Seminários de Pesquisa em Música']
