COURSE,YEAR,INTEGRANTES
Maquiagem Artística,2008,['Olívia Camboim Romano']
Workshop do Curso de Artes - Maquiagem Artística,2009,['Olívia Camboim Romano']
Maquiagem Artística,2009,['Olívia Camboim Romano']
Oficinas do Curso de Artes,2010,['Olívia Camboim Romano']
Jogos Teatrais na Escola: Conhecimento e Brincadeira - XVIII Semana da Pedagogia: o educador frente às diferentes pedagogias,2011,['Olívia Camboim Romano']
Jogos Teatrais - Foco: Trabalho Coletivo - SEMED Indaial/SC,2012,['Olívia Camboim Romano']
Jogos Teatrais na Educação Infantil - SEMED Indaial/SC,2012,['Olívia Camboim Romano']
Jogos Teatrais na Educação Infantil - SEMED Indaial/SC,2012,['Olívia Camboim Romano']
Jogos Teatrais na Educação Infantil - SEMED Indaial/SC,2012,['Olívia Camboim Romano']
Seminário de Integração e Avaliação dos participantes da Formação Continuada do PIAE - SEMED Indaial/SC,2012,['Olívia Camboim Romano']
Capacitações do Programa Institucional Arte na Escola - O jogo teatral na escola e Avaliação das atividades de 2011-2 - SEMED Schroeder/SC,2011,['Olívia Camboim Romano']
Oficinas do curso de Artes - Interação FURB,2010,['Olívia Camboim Romano']
Oficina de teatro para adolescentes,2011,['Olívia Camboim Romano']
Oficina de Jogos Teatrais para Alunos da Escola Básica Municipal (EBM) Professora Alice Thiele - Programa Mais Educação,2011,['Olívia Camboim Romano']
Jogo Teatral na Escola - SEMED Indaial/SC,2011,['Olívia Camboim Romano']
'Jogo Teatral na Escola' para professores de Educação Infantil - SEMED Gaspar/SC,2011,['Olívia Camboim Romano']
'Jogo Teatral na Escola' - SEMED Gaspar/SC,2011,['Olívia Camboim Romano']
Oficina: Jogos Teatrais - Teatro/Extensão - Seminário Integrado das Licenciaturas,2012,['Olívia Camboim Romano']
Oficina: jogos teatrais do curso de Teatro - Interação FURB,2012,['Olívia Camboim Romano']
Fórum Permanente das Licenciaturas - III Encontro - Programa de Formação Institucional da FURB,2012,['Olívia Camboim Romano']
Workshop Eixo Articulador das Licenciaturas (EAL) - Programa de Formação Institucional da FURB,2012,['Olívia Camboim Romano']
Jogos Teatrais: brincadeira e aprendizagem - Programa de Formação Institucional da FURB,2012,['Olívia Camboim Romano']
Oficina: Jogos Teatrais - Equipe PROEN - Programa de Formação Institucional da FURB,2012,['Olívia Camboim Romano']
Jogos Teatrais na Formação de Professores(as) - II Encontro do PARFOR FURB,2012,['Olívia Camboim Romano']
Oficina Jogos Teatrais - 'A sequência dos cegos' - Estudantes de Arquitetura e Urbanismo,2012,['Olívia Camboim Romano']
Oficina de Teatro para adolescentes,2013,['Olívia Camboim Romano']
Jogos Teatrais do Curso de Teatro (Interação FURB),2013,['Olívia Camboim Romano']
Fórum Permanente das Licenciaturas: I Encontro de Construção do Projeto Pedagógico das Licenciaturas - PPL,2013,['Olívia Camboim Romano']
Fórum Permanente das Licenciaturas: II Encontro de Construção do Projeto Pedagógico das Licenciaturas - PPL,2013,['Olívia Camboim Romano']
Construção das Diretrizes das Licenciaturas - Qual o profissional professor a FURB deve formar para a educação básica com base nos documentos legais e no contexto local?,2013,['Olívia Camboim Romano']
Construção das Diretrizes das Licenciaturas - Quais os saberes e fazeres necessários para o profissional professor?,2013,['Olívia Camboim Romano']
Construção das Diretrizes das Licenciaturas - Quais são os princípios e diretrizes para a formação do profissional professor?,2013,['Olívia Camboim Romano']
Construção das Diretrizes das Licenciaturas - Como articular a formação do profissional professor com as especificidades das áreas,2013,['Olívia Camboim Romano']
Construção das Diretrizes das Licenciaturas - Como organizar o currículo para a formação do profissional professor?,2013,['Olívia Camboim Romano']
Jogos teatrais do curso de Teatro - Interação FURB,2013,['Olívia Camboim Romano']
Jogos Teatrais na Educação Infantil e Seminário de Avaliação e Integração dos professores participantes da Formação Continuada do Arte na Escola - Polo FURB,2012,['Olívia Camboim Romano']
Programa de Formação Institucional da FURB (I Encontro do PARFOR-FURB e Encontro-Possibilidades e Desafios da Formação de Professores a partir do PARFOR),2011,['Olívia Camboim Romano']
Iniciação Teatral,2002,"['Olívia Camboim Romano', 'Gabriela Machado Ferreira', 'Lucia Vernet']"
Workshop Jogos Teatrais - Encontro Estadual sobre formação continuada no ensino da arte,2013,['Olívia Camboim Romano']
Oficina de Iniciação Teatral,2018,['Olívia Camboim Romano']
Oficina de Jogos Teatrais no  I ENCONTRO PEDAGÓGICO DE TEATRO,2018,['Olívia Camboim Romano']
Jogos Teatrais: exercícios práticos de fundamentos da atuação,2020,['Olívia Camboim Romano']
Oficina de Teatro,2019,['Olívia Camboim Romano']
TEATRO DE BONECOS NO AMBIENTE HOSPITALAR,2019,"['Olívia Camboim Romano', 'Pedro Rodrigues Pereira da Silva']"
Alfabetizar é uma arte: oficina de teatro para alfabetizadoras/es,2019,"['Olívia Camboim Romano', 'Suzana Mary de Andrade Nunes']"
2ª Oficina de Teatro,2019,['Olívia Camboim Romano']
Oficina de caixa de teatro: da confecção à contação de histórias,2019,['Olívia Camboim Romano']
Técnica Vocal Básica,2019,"['Olívia Camboim Romano', 'Marcelo Alves Brazil']"
Caixa de Teatro: um recurso pedagógico para o ensino presencial e remoto,2021,['Olívia Camboim Romano']
Introdução à maquiagem,2007,['Olívia Camboim Romano']
Workshops do Curso de Artes - Maquiagem e Caracterização,2008,['Olívia Camboim Romano']
Oficinas do curso de Teatro - Interação FURB,2011,['Olívia Camboim Romano']
