PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
A Folia de Reis como Processo de Linguagem Artística: Resgatando Identidades,2006,2007,OUTRA,"['Daniel Santos Costa', 'Baptistella, Rosana', 'Cóis, Camila B.']","['NAO', 'SIM', 'NAO']"
É tanta festa de alegria!,2013,2014,OUTRA,"['Daniel Santos Costa', 'Tiago Samuel Bassani', 'Gracia Maria Navarro', 'Erika Cunha', 'Eduardo Cecconello', 'Alessandro Oliveira', 'Inácio Azevedo', 'Bruno Torato']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Entre Presságios e Outras Profecias,2009,2010,OUTRA,"['Daniel Santos Costa', 'Baptistella, Rosana']","['NAO', 'SIM']"
Ensino de Habilidades Específicas em Artes (Dança e Teatro),2008,2009,PESQUISA,"['Daniel Santos Costa', 'Baptistella, Rosana']","['NAO', 'SIM']"
"Corpo de Mestre, Corpo de Aprendiz",2009,2010,EXTENSAO,"['Daniel Santos Costa', 'Rogério Adolfo de Moura', 'Alik Santos Antolino', 'Pamella de Caprio Villanova', 'Christina Bottura', 'Leonardo pereira da Costa']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Investigando corpos íntegros e expressivos: um experimento de dança,2010,2011,PESQUISA,"['Daniel Santos Costa', 'Marília Vieira Soares', 'SCHROEDER, Jorge L.']","['SIM', 'NAO', 'NAO']"
Diálogos Difíceis: a construção de enunciados coletivos com a música e a dança,2009,2009,OUTRA,"['Daniel Santos Costa', 'SCHROEDER, Jorge L.']","['SIM', 'NAO']"
Encruzilhadas do corpo (em) processo: f(r)icção arte e vida na criação de uma dança-teatro brasileira,2012,2014,PESQUISA,"['Daniel Santos Costa', 'Tiago Samuel Bassani', 'Gracia Maria Navarro']","['SIM', 'NAO', 'NAO']"
"Leitura, corpo e memória: percepções, recepções e reverberações",2014,2014,PESQUISA,"['Daniel Santos Costa', 'Baptistella, Rosana']","['NAO', 'SIM']"
O corpo é uma festa: uma manifestação poético-político-pedagógica,2015,2017,PESQUISA,['Daniel Santos Costa'],['SIM']
"O corpo masculino na dança: relações entre arte, gênero e homoerostismo (Corpo-SUL-Gênero: ações pedagógicas e experiencias performativas)",2010,2016,OUTRA,"['Daniel Santos Costa', 'Tiago Samuel Bassani', 'Rogério Adolfo de Moura', 'Viviane Palandi']","['SIM', 'NAO', 'NAO', 'NAO']"
O corpo é de plástico?,2013,2015,OUTRA,"['Daniel Santos Costa', 'Baptistella, Rosana', 'Tiago Samuel Bassani', 'Erika Cunha', 'João Arruda']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Giros e Chegadas 2009/2010 (Folias de Reis de Campinas/SP),2009,2010,OUTRA,"['Daniel Santos Costa', 'Baptistella, Rosana', 'Cóis, Camila B.', 'Tiago Samuel Bassani']","['SIM', 'NAO', 'NAO', 'NAO']"
DA ORALIDADE POPULAR BRASILEIRA À UMA DANÇA TEATRAL PERFORMATIVA:  o corpo pós-colonial como um lugar de  experiência,2015,ATUAL,PESQUISA,"['Daniel Santos Costa', 'Sayonara Sousa Pereira']","['SIM', 'NAO']"
30 anos do Teatro Vianinha - Intercâmbio Cultural,2010,2010,OUTRA,"['Daniel Santos Costa', 'Freitas, Marlene', 'Freitas, Juliana']","['SIM', 'NAO', 'NAO']"
Práticas de Ensino e Atuação em Dança: experiências pedagógicas no espaço da Educação Básica,2016,2017,OUTRA,"['Daniel Santos Costa', 'Flavia Lara Lima', 'Tayná Martins Sol']","['SIM', 'NAO', 'NAO']"
4ª Semana de Arte da Eseba/UFU,2017,2017,EXTENSAO,"['Daniel Santos Costa', 'Mariza Barbosa', 'Getúlio Gois', 'Mara Rúbia de Almeida Colli', 'Lucielle Arantes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
III Semana de Arte da Eseba/UFU,2016,2017,EXTENSAO,"['Daniel Santos Costa', 'Mariza Barbosa', 'Getúlio Gois', 'Mara Rúbia de Almeida Colli', 'Lucielle Arantes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Práticas de Ensino e Atuação em Dança: experiências poéticas e pedagógicas na educação básica,2017,ATUAL,OUTRA,"['Daniel Santos Costa', 'Mariana de Abreu Barbosa Pereira da Silva', 'José Paulo Venâncio da Silva']","['SIM', 'NAO', 'NAO']"
A dança no contexto da escola básica: práticas de ensino e atuação,2018,ATUAL,ENSINO,"['Daniel Santos Costa', 'Pedro Henrique dos Santos Siqueira']","['SIM', 'NAO']"
Programa de Residência Pedagógica - Subprojeto Artes: Teatro/Música,2018,ATUAL,ENSINO,"['Daniel Santos Costa', 'Getúlio Gois', 'Vilma Campos dos Santos Leite']","['SIM', 'NAO', 'NAO']"
5ª Semana de Arte da Eseba/UFU,2018,2018,EXTENSAO,"['Daniel Santos Costa', 'Mariza Barbosa', 'Getúlio Gois', 'Mara Rúbia de Almeida Colli', 'Lucielle Arantes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
"Corpo-Festa: estratégias mnemônicas e decoloniais em processos de ensino, criação e atuação nas artes cênicas",2019,ATUAL,PESQUISA,['Daniel Santos Costa'],['SIM']
6ª Semana de Arte da Eseba - UFU,2019,ATUAL,EXTENSAO,"['Daniel Santos Costa', 'Mariza Barbosa', 'Getúlio Gois', 'Mara Rúbia de Almeida Colli', 'Lucielle Arantes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Dança Eseba,2019,ATUAL,EXTENSAO,"['Daniel Santos Costa', 'Bruno Gonzaga Teodoro']","['SIM', 'NAO']"
