PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Título: uso de caixas vedadas para proteção de pinturas modernas em museus quentes e úmidos,1999,2002,PESQUISA,['Magali Melleu Sehn'],['SIM']
FAPESP III - MÓDULO 5: Instalação e Complementação de infra-estrutura de pesquisa do laboratório de conservação do MAC,1997,1998,OUTRA,['Magali Melleu Sehn'],['SIM']
Registro de condições ambientais do acervo do MAC- Ibirapuera,1991,1993,PESQUISA,['Magali Melleu Sehn'],['SIM']
Elaboração e coordenação do projeto de conservação preventiva para o acervo de partituras,2006,2007,OUTRA,['Magali Melleu Sehn'],['SIM']
Conversa entre Parceiros: Futuros Artistas e Futuros Conservadores,2010,2011,OUTRA,['Magali Melleu Sehn'],['SIM']
Arte Contemporânea: análise de protocolos de aquisição e regimes de comodatos em instituições brasileiras,2011,2013,PESQUISA,['Magali Melleu Sehn'],['SIM']
Alimentação do banco de dados com trabalhos acadêmicos e entrevistas com artistas brasileiros contemporâneos,2000,ATUAL,PESQUISA,['Magali Melleu Sehn'],['SIM']
Projeto de Restauração das Réplicas de Gesso do Centro de Memória da Faculdade de Arquitetura,2011,2012,EXTENSAO,"['Magali Melleu Sehn', 'Regina Emery Quites', 'Marcela Ferraz', 'Alessandra Rosado', 'Thaís Venuto', 'Giulia Vilela']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Projeto de Restauração da Obra NEITHER da artista Doris Salcedo,2013,2017,PESQUISA,"['Magali Melleu Sehn', 'Luiz Antônio Cruz Souza', 'Gabriela Werner de Freitas']","['SIM', 'NAO', 'NAO']"
Fase I: Elaboração de material didático para o ensino de conservação preventiva com ênfase em embalagens de obras de arte moderna e contemporânea,2013,2014,PESQUISA,"['Magali Melleu Sehn', 'Raquel Augustin', 'Carolina Concesso']","['SIM', 'NAO', 'NAO']"
MIRA- Artes Visuais Contemporâneas dos povos indígenas,2013,2015,EXTENSAO,"['Magali Melleu Sehn', 'Maria Inês de Almeida', 'Ana Carvalho Ziller', 'Beatriz de Almeida Matos', 'Edgar Eduardo Bolivar', 'Hugo Gurrionero Aragon', 'Maria Emília Coelho', 'Rafael Otávio Fares']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Projeto Muselógico para o Centro de Memória da Faculdade de Odontologia da Universidade Federal de Minas Gerais,2012,2014,EXTENSAO,"['Magali Melleu Sehn', 'Luiz Antônio Cruz Souza', 'Paulo Sabino', 'Alessandra Rosado', 'Verona Sabatini']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
"Arte Contemporânea: Análises de protocolos de aquisição e regimes de comodatos em museus de arte contemporânea da América Latina: México, Uruguai, Chile, Argentina e Colômbia",2014,2015,PESQUISA,['Magali Melleu Sehn'],['SIM']
Projeto Acadêmico -14 laudos técnicos: averiguação do estado de conservação de peças do acervo da UFMG,2013,2013,OUTRA,"['Magali Melleu Sehn', 'Raquel Augustin', 'Ana Carolina Rodrigues', 'João Henrique Rodrigues', 'Matheus Rocha Moreira', 'Vanessa Magalhães Pinto', 'Carolina Concesso']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Fase II. Produção de Material Didático para o ensino de conservação preventiva com ênfase em embalagens de obras de arte Moderna e Contemporânea,2015,2016,PESQUISA,['Magali Melleu Sehn'],['SIM']
Projeto Entrevistas com Artistas como ferramenta de Preservação: destaque para a produção de Arte Contemporânea mineira,2018,ATUAL,PESQUISA,"['Magali Melleu Sehn', 'João Henrique Barbosa', 'Giulia Alcântara Cavalcante', 'MARCELA BELO', 'JULIANA CAETANO', 'Mariah Boelsums', 'Lilian Amélia', 'Nayane Laia', 'Dayse Marinho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
International Network for Conservation of Contemporary Art - INCCA,2008,ATUAL,PESQUISA,['Magali Melleu Sehn'],['SIM']
PROJETO ACADÊMICO II - CONVERSA ENTRE PARCEIROS: ARTISTAS E CONSERVADORES,2021,ATUAL,ENSINO,"['Magali Melleu Sehn', 'Giulia Alcântara Cavalcante', 'Sheila Mara', 'Marcelo Rocha']","['SIM', 'NAO', 'NAO', 'NAO']"
Projeto de Cooperação Internacional -INCCA IBEROAMERICA,2011,2017,PESQUISA,"['Magali Melleu Sehn', 'Luiz Antônio Cruz Souza', 'Yacy-Ara Froner', 'Rita Macedo']","['SIM', 'NAO', 'NAO', 'NAO']"
Conservação Preventiva para a exposição nacional &amp;quot; Entre Nós&amp;quot; A figura Humana no Acervo do MASP,2017,2017,EXTENSAO,['Magali Melleu Sehn'],['SIM']
Conservação Preventiva da Exposição internacional do Mondrian e o Movimento de Stijl,2016,2017,EXTENSAO,['Magali Melleu Sehn'],['SIM']
Conservação Preventiva para a exposição internacional Mondrian e o movimento de STIJL,2017,2017,EXTENSAO,['Magali Melleu Sehn'],['SIM']
Conservação Preventiva para a exposição &amp;quot;Entre Nós&amp;quot; A Figura Humana no Acervo do MASP,2017,2017,EXTENSAO,['Magali Melleu Sehn'],['SIM']
Conservação Preventiva para a exposição internacional Mondrian e o Movimento De Stijl,2017,2017,EXTENSAO,['Magali Melleu Sehn'],['SIM']
arte#ocupaSM,2022,ATUAL,EXTENSAO,"['Magali Melleu Sehn', 'Rebecca Lenize  Stum']","['NAO', 'SIM']"
Protocolos de musealização de ações performáticas em museus públicos de arte,2022,ATUAL,PESQUISA,"['Magali Melleu Sehn', 'Monique Batista Magaldi', 'Emerson Dionisio', 'JULIANA CAETANO', 'Anna Paula da Silva', 'Fernanda Wernek Cortês', 'Bianca Andrade Tinoco', 'Renata Cardoso Padilha', 'Daniela Félix Martins Kawabe', 'Mariana Estelita Lins Silva']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
