PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Interação Cênico-musical,2009,2013,PESQUISA,"['Jussara Rodrigues Fernandino', 'Ernani Maletta']","['SIM', 'NAO']"
Musicalização no Projeto Cariúnas,2013,2017,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Maria Betânia Parizzi Fonseca', 'Luyra Dutra Martins Silva', 'Gabriel Fonseca Reis Tavares']","['SIM', 'NAO', 'NAO', 'NAO']"
Voz e Movimento em fluxo,2015,2020,PESQUISA,"['Jussara Rodrigues Fernandino', 'Rita Gusmão', 'Carolina Gualberto']","['NAO', 'SIM', 'NAO']"
Oficina de Música - Programa Escola Integrada,2009,2014,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Marília Barcellos Guimarães', 'FEICHAS, Heloísa', 'Carla Linhares', 'Denise Bianca Maduro Silva Passades', 'Juarez Dayrell']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Projeto Oficina de Música: Escola Integrada,2015,2018,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Ariane Enohata Tsubouchi', 'Alice Duarte Torres', 'Rosinei Barbosa de Andrade', 'Victor Henrique Lopes', 'Caio José Moura Santos']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Centro de Musicalização Infantil da UFMG (CMI),1993,1999,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Regina Coelho']","['SIM', 'NAO']"
Centro de Musicalização Infantil da UFMG (CMI),2002,2006,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Regina Coelho']","['SIM', 'NAO']"
Centro de Musicalização Infantil da UFMG (CMI),2009,2010,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Regina Coelho', 'Walênia Marília Silva']","['NAO', 'NAO', 'SIM']"
Centro de Musicalização Integrado da UFMG,2015,2017,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Patrícia Santiago', 'Maria Betânia']","['NAO', 'NAO', 'SIM']"
PIBID - Núcleo Arte: Música/Teatro,2018,2020,ENSINO,"['Jussara Rodrigues Fernandino', 'Ricardo Carvalho de Figueiredo', 'Rita Gusmão', 'Vinícius da Silva Lírio', 'Álida Alves Leal']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
PIBID - Núcleo Arte/Sociologia,2020,2022,ENSINO,"['Jussara Rodrigues Fernandino', 'Rita Gusmão', 'Rosvita Kolb Bernardes', 'Vanessa Regina Eleutério Miranda', 'Elaine Vilela', 'Paulo Baeta']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Musicalização na Creche Jardim Felicidade,2000,2001,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Cláudia Maria Nicodemo', 'João Barreto']","['SIM', 'NAO', 'NAO']"
Parceria CMI-CDC,2005,2005,EXTENSAO,['Jussara Rodrigues Fernandino'],['SIM']
Musicalização através do Canto Coral  - Bairro Providência,1995,1995,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Vera Lúcia Nogueira Pereira']","['SIM', 'NAO']"
Musicalização na Creche São Bernardo,1995,1995,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Helena Leite Mauro']","['SIM', 'NAO']"
Programa de Rádio Serelepe: Música e Infância,2021,ATUAL,EXTENSAO,"['Jussara Rodrigues Fernandino', 'Eugênio Tadeu Pereira', 'Angelita Vander Brook']","['NAO', 'NAO', 'SIM']"
Mapeamento da atuação docente no componente curricular Arte da rede municipal de educação de Belo Horizonte,2021,ATUAL,PESQUISA,['Jussara Rodrigues Fernandino'],['SIM']
Mapeamento da musicalidade no teatro,2006,2008,PESQUISA,"['Jussara Rodrigues Fernandino', 'Ernani Maletta']","['SIM', 'NAO']"
