INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Universidade Estadual de Montes Claros,1999,12,12,12,Artes,GRADUACAO,"['Estruturação Musical', 'Historia da Musica', 'Informatica na Educacao Musical', 'Instrumento eletivo - flauta transversa', 'Instrumento eletivo - violão', 'Metodologia cientifica', 'Metodos e tecnicas de pesquisa']"
Universidade Estadual de Montes Claros,2000,02,02,02,Arte Educação,ESPECIALIZACAO,"['Historia da Musica Popular Brasileira', 'Metodologia do Ensino Superior']"
Universidade do Estado de Santa Catarina,2007,12,12,12,Licenciatura Musica,GRADUACAO,"['Didática e Prática de Ensino em Educação Artística: Música', 'Educação Musica e Escola I', 'Estudos Temáticos I', 'Estudos Temáticos II', 'Pesquisa em Música']"
Universidade do Estado de Santa Catarina,2009,12,12,12,Música,POS-GRADUACAO,"['Música e Currículo', 'Educação musical e formação docente', 'Fundamentos da educação musical', 'Pesquisa em música', 'Tópicos Especiais em Educação Musical']"
Universidade Federal de Uberlândia,2011,,ATUAL,ATUAL,Música,GRADUACAO,"['Metodologia do Ensino e Aprendizagem Musicais 1', 'Metodologia do Ensino e Aprendizagem Musicais 2', 'Psicologia do Desenvolvimento Musical']"
Universidade Federal de Uberlândia,2011,,ATUAL,ATUAL,Artes,POS-GRADUACAO,['Tópicos Especiais em Criação e Produção em Artes: composição individual e em grupo na educação musical']
