INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Pontifícia Universidade Católica de Minas Gerais,1998,12,12,12,Comunicação Social - Publicidade e Propaganda,GRADUACAO,['Comunicação Comparada']
Pontifícia Universidade Católica de Minas Gerais,1998,12,12,12,Comunicação Social - Publicidade e Propaganda,GRADUACAO,['Teoria da Comunicação II']
Pontifícia Universidade Católica de Minas Gerais,2000,,ATUAL,ATUAL,Comunicação Social - Gestão da Comunicação Integra,GRADUACAO,"['Teoria da Comunicação', 'Comunicação e contemporaneidade']"
Pontifícia Universidade Católica de Minas Gerais,2000,12,12,12,Relações Públicas,GRADUACAO,['Novas tecnologias nas organizações']
Pontifícia Universidade Católica de Minas Gerais,2002,12,12,12,Comunicação e Gestão Empresarial,ESPECIALIZACAO,['Comunicação e Novas Tecnologias']
Pontifícia Universidade Católica de Minas Gerais,2004,,ATUAL,ATUAL,Relações Públicas,GRADUACAO,['Hipermídia e cibercultura']
Pontifícia Universidade Católica de Minas Gerais,2006,,ATUAL,ATUAL,Com Social-Gestão da Comunicação Integrada,GRADUACAO,['Projeto Experimental I']
Pontifícia Universidade Católica de Minas Gerais,2007,,ATUAL,ATUAL,Processos Criativos em Palavra e Imagem,ESPECIALIZACAO,['Criação em rede']
Universidade Federal de Minas Gerais,2009,,ATUAL,ATUAL,Cinema de Animação e Artes Digitais,GRADUACAO,['Arte Mídia II']
Universidade Federal de Minas Gerais,2009,12,12,12,Pós-graduação em Artes,POS-GRADUACAO,['Códigos de imagem: dispositivos de visibilidade']
Universidade Federal de Minas Gerais,2009,,ATUAL,ATUAL,Cinema de Animação e Artes Digitais,GRADUACAO,['Arte Mídia I']
Universidade Federal de Minas Gerais,2010,,ATUAL,ATUAL,Cinema de Animação e Artes Digitais,GRADUACAO,['Panorama da Arte Digital']
Universidade Federal de Minas Gerais,2010,12,12,12,Artes,POS-GRADUACAO,['Tempo e memória coletiva na criação em ambientes digitais']
Universidade Federal de Minas Gerais,2010,07,07,07,Artes Visuais - Cinema de Animação,GRADUACAO,['Atelier II - Cinema de Animação']
Universidade Federal de Minas Gerais,2010,12,12,12,Artes Visuais - Cinema de Animação,GRADUACAO,['Atelier I - Cinema de Animação - Roteiro']
Universidade Federal de Minas Gerais,2011,12,12,12,Artes Visuais,GRADUACAO,['Imagem técnica']
Universidade Federal de Minas Gerais,2011,07,07,07,Pós-graduação em Artes,POS-GRADUACAO,['Memórias em metadados: formas narrativas em ambientes programáveis']
Universidade Federal de Minas Gerais,2012,07,07,07,Comunicação Social,POS-GRADUACAO,['Memórias em metadados: formas narrativas em ambientes programáveis']
Universidade Federal de Minas Gerais,2012,12,12,12,Pós-graduação em Artes,POS-GRADUACAO,['Formas artísticas em ambientes programáveis']
Universidade Federal de Minas Gerais,2012,07,07,07,Cinema de Animação e Artes Digitais,GRADUACAO,"['Introdução às narrativas interativas', 'TCC em Cinema de Animação']"
Universidade Federal de Minas Gerais,2013,07,07,07,Cinema de Animação e Artes Digitais,GRADUACAO,['Trabalho de conclusão de curso']
Universidade Federal de Minas Gerais,2013,07,07,07,Cinema de Animação e Artes Digitais,GRADUACAO,['Cinema de Animação e Artes Digitais: Introdução']
Universidade Federal de Minas Gerais,2013,12,12,12,Cinema de Animação e Artes Digitais,GRADUACAO,['Produção colaborativa via web']
Universidade Federal de Minas Gerais,2013,12,12,12,Pós-graduação em Artes,POS-GRADUACAO,['Formas artísticas em ambientes programáveis']
Universidade Federal de Minas Gerais,2013,07,07,07,Artes,POS-GRADUACAO,['Políticas e poéticas em ambientes programáveis']
Universidade Federal de Minas Gerais,2014,12,12,12,Cinema de Animação e Artes Digitais,GRADUACAO,"['Ateliê de Artes Digitais I', 'Grupo de Estudos: Poéticas Tecnológicas', 'Instalação em arte computacional interativa', 'Vídeo arte']"
Universidade Federal de Minas Gerais,2014,07,07,07,Artes,POS-GRADUACAO,['Poéticas da memória e objetos técnico-artísticos']
Universidade Federal de Minas Gerais,2014,07,07,07,Artes,POS-GRADUACAO,['Poéticas tecnológicas']
Universidade Federal de Minas Gerais,2014,07,07,07,Comunicação Social,POS-GRADUACAO,['Metodologia de pesquisa em comunicação']
Universidade Federal de Minas Gerais,2015,07,07,07,Pós-graduação em Artes,POS-GRADUACAO,"['Poéticas da memória em ambientes programáveis', 'Poéticas tecnológicas']"
Universidade Federal de Minas Gerais,2015,12,12,12,Cinema de Animação e Artes Digitais,GRADUACAO,['Vídeo Arte']
Universidade Federal de Minas Gerais,2015,12,12,12,Cinema de Animação e Artes Digitais,GRADUACAO,['Palestras TCC']
Universidade Federal de Minas Gerais,2015,12,12,12,Artes,POS-GRADUACAO,['Atelier de Poéticas Tecnológicas']
Universidade Federal de Minas Gerais,2016,12,12,12,Artes,POS-GRADUACAO,['Seminário II: Projetos - DINTER']
Universidade Federal de Minas Gerais,2016,12,12,12,Cinema de Animação e Artes Digitais,GRADUACAO,['Produção colaborativa via web']
Universidade Federal de Minas Gerais,2016,07,07,07,Pós-graduação em Artes,POS-GRADUACAO,"['Poéticas tecnológicas', 'Seminário I DINTER']"
Universidade Federal de Minas Gerais,2018,07,07,07,Cinema de Animação e Artes Digitais,GRADUACAO,['Trabalho de Conclusão de curso']
Universidade Federal de Minas Gerais,2018,07,07,07,Artes,POS-GRADUACAO,['Rastros ruínas e esquecimento em ambientes efêmero de memória']
