COURSE,YEAR,INTEGRANTES
Teatralidades textuais não-dramáticas ? lugares de luta na linguagem da dramaturgia contemporânea,2010,['Stephan Arnulf Baumgartel']
A performatividade da cena teatral entre a representação e não representação,2010,['Stephan Arnulf Baumgartel']
Teatralidades Textuais além do Drama,2010,['Stephan Arnulf Baumgartel']
Oficina de Dramaturgia e Criação de Textos Teatrais,2012,['Stephan Arnulf Baumgartel']
Dramaturgia SESC Leituras em Cena,2013,['Stephan Arnulf Baumgartel']
Oficina de Criação de Textos Teatrais,2013,['Stephan Arnulf Baumgartel']
Dramaturgia SESC Leituras em Cena,2013,['Stephan Arnulf Baumgartel']
Dramaturgia SESC Leituras em Cena,2013,['Stephan Arnulf Baumgartel']
Núcleo de Dramaturgia SESI Paraná - Oficina Imersiva de Escrita Teatral,2018,['Stephan Arnulf Baumgartel']
Oficina de Escrita Teatral,2017,['Stephan Arnulf Baumgartel']
Subjetividades Contemporâneas e artivismo escénico,2019,"['Stephan Arnulf Baumgartel', 'Lorena Verzero']"
Contextos históricos e estéticos do teatro chamado &amp;quot;pós-dramático&amp;quot;,2007,['Stephan Arnulf Baumgartel']
Estética Teatral,2006,['Stephan Arnulf Baumgartel']
Dramaturgia SESC Leituras em Cena,2013,['Stephan Arnulf Baumgartel']
