INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Centro Universitário da Cidade,2007,07,07,07,Tecnologia em Artes Dramáticas,GRADUACAO,['Ator e Composição (interpretação teatral - 3o período)']
Universidade Federal de Ouro Preto,2008,12,12,12,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação II']
Universidade Federal de Ouro Preto,2008,12,12,12,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação II', 'Interpretação IV', 'Atuação em montagem e apresentação']"
Universidade Federal de Ouro Preto,2009,07,07,07,Bacharelado em Artes Cênicas,GRADUACAO,['Interpretação III']
Universidade Federal de Ouro Preto,2009,07,07,07,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação I']
Universidade Federal de Ouro Preto,2009,12,12,12,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação II']
Universidade Federal de Ouro Preto,2009,12,12,12,Bacharelado em Artes Cênicas,GRADUACAO,"['Atuação em montagem e apresentação', 'Pesquisa de linguagem em interpretação', 'Pesquisa de linguagem: teoria e prática da encenação', 'Prática de montagem e apresentação']"
Universidade Federal de Ouro Preto,2009,07,07,07,Artes Cênicas,GRADUACAO,['Estudos teatrais A']
Universidade Federal de Ouro Preto,2010,07,07,07,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação I']
Universidade Federal de Ouro Preto,2010,12,12,12,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação IV', 'Pesquisa de linguagem em interpretação', 'Pesquisa de linguagem: teoria e prática da encenação']"
Universidade Federal de Ouro Preto,2010,07,07,07,Bacharelado em Artes Cênicas,GRADUACAO,['Pesquisa de linguagem em interpretação']
Universidade Federal de Ouro Preto,2011,07,07,07,Bacharelado em Artes Cênicas,GRADUACAO,"['Expressão Corporal IV', 'Interpretação I', 'Atuação em montagem e apresentação', 'Pesquisa de linguagem em interpretação']"
Universidade Federal de Ouro Preto,2011,12,12,12,Artes Cênicas,GRADUACAO,['A Arte do Ator Oriental']
Universidade Federal de Ouro Preto,2011,12,12,12,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação IV', 'Pesquisa de linguagem em interpretação', 'Prática de montagem e apresentação']"
Universidade Federal de Ouro Preto,2012,04,04,04,Bacharelado em Artes Cênicas,GRADUACAO,['Interpretação IV']
Universidade Federal de Ouro Preto,2012,10,10,10,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação I']
Universidade Federal de Ouro Preto,2012,10,10,10,Bacharelado em Artes Cênicas,GRADUACAO,"['Expressão Corporal IV', 'Atuação em montagem e apresentação', 'Pesquisa de linguagem: teoria e prática da encenação']"
Universidade Federal de Ouro Preto,2012,04,04,04,Licenciatura em Artes Cênicas,GRADUACAO,['Intepretação II']
Universidade Federal de Ouro Preto,2013,02,02,02,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação II', 'Interpretação IV', 'Atuação em montagem e apresentação', 'Pesquisa de linguagem em interpretação']"
Universidade Federal de Ouro Preto,2013,02,02,02,Artes Cênicas,GRADUACAO,['A arte do ator oriental']
Universidade Federal de Ouro Preto,2013,09,09,09,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação I', 'Interpretação V', 'Pesquisa de linguagem em interpretação']"
Universidade Federal de Ouro Preto,2014,12,12,12,Mestrado em Artes Cênicas,POS-GRADUACAO,['Tópicos Especiais em Atuação - O Teatro Indiano serve pra quê? Análise técnica e antropológica do Teatro Kathakali - um estudo teórico-prático em busca das possíveis relações entre o teatro clássico oriental e o teatro brasileiro contemporâneo']
Universidade Federal de Ouro Preto,2014,12,12,12,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação II', 'Interpretação IV', 'Atuação em montagem e apresentação', 'Pesquisa de linguagem em interpretação']"
Universidade Federal de Ouro Preto,2014,07,07,07,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação I']
Universidade Federal de Ouro Preto,2014,07,07,07,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação V', 'Atuação em montagem e apresentação']"
Universidade Federal de Ouro Preto,2015,12,12,12,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação IV', 'Pesquisa de linguagem: teoria e prática da encenação', 'Pesquisa de linguagem em interpretação']"
Universidade Federal de Ouro Preto,2015,12,12,12,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação II']
Universidade Federal de Ouro Preto,2015,07,07,07,Bacharelado em Artes Cênicas,GRADUACAO,"['Atuação em montagem e apresentação', 'Expressão corporal IV', 'Interpretação I', 'Pesquisa de linguagem em interpretação', 'Prática de montagem e apresentação']"
Universidade Federal de Ouro Preto,2015,07,07,07,Artes Cênicas,GRADUACAO,['Oficina de criação B']
Universidade Federal de Ouro Preto,2016,07,07,07,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação V', 'Pesquisa de linguagem em interpretação', 'Pesquisa de linguagem: teoria e prática da encenação']"
Universidade Federal de Ouro Preto,2016,07,07,07,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação I']
Universidade Federal de Ouro Preto,2017,01,01,01,Bacharelado em Artes Cênicas,GRADUACAO,"['Interpretação II', 'Interpretação IV']"
Universidade Federal de Ouro Preto,2017,01,01,01,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação II']
Universidade Federal de Ouro Preto,2018,07,07,07,Artes Cênicas,POS-GRADUACAO,"['Tópicos de pesquisa em estética, crítica e história das artes - Orientalismo, interculturalismo e pós-colonialismo nas artes cênicas']"
Universidade Federal de Ouro Preto,2018,07,07,07,Bacharelado em Artes Cênicas,GRADUACAO,"['Atuação em montagem e apresentação', 'Interpretação III']"
Universidade Federal de Ouro Preto,2018,07,07,07,Licenciatura em Artes Cênicas,GRADUACAO,['Interpretação I']
