COURSE,YEAR,INTEGRANTES
Oficina de Cordas dedilhadas (Workshop on plucked strings),2000,['Luiz Alberto Bavaresco de Naveda']
Oficina de iniciação à Música,2000,['Luiz Alberto Bavaresco de Naveda']
Agente cultural - área música,1996,['Luiz Alberto Bavaresco de Naveda']
Oficina de Origami Arquitetônico (Worshop on architectural origami),1999,['Luiz Alberto Bavaresco de Naveda']
Oficina de Origami Arquitetônico (Worshop on architectural origami),2000,['Luiz Alberto Bavaresco de Naveda']
Origami Arquitetônico (Architectural Origami),2000,['Luiz Alberto Bavaresco de Naveda']
Oficina de Origami Arquitetônico (Worshop on architectural origami),2001,['Luiz Alberto Bavaresco de Naveda']
Oficina de Origami,2001,['Luiz Alberto Bavaresco de Naveda']
Oficina de Origami,2003,['Luiz Alberto Bavaresco de Naveda']
Introdução ao origami Arquitetônico (Introduction to architectural origami),2003,['Luiz Alberto Bavaresco de Naveda']
Oficina de origami e criação em papel,2006,['Luiz Alberto Bavaresco de Naveda']
Introdução ao origami Arquitetônico e criação em papel (Introduction to architectural Origami and creativity in paper),2006,['Luiz Alberto Bavaresco de Naveda']
Oficina de origami e criação em papel,2006,['Luiz Alberto Bavaresco de Naveda']
"Sioros, George",2012,"['Luiz Alberto Bavaresco de Naveda', 'George Sioros']"
1o Workshop Internacional En Tecnologias De Mediacion Para La Investigación De Las Artes Temporales,2013,"['Luiz Alberto Bavaresco de Naveda', 'Davi Alves Mota']"
Workshop de introdução ao Arduino,2016,"['Luiz Alberto Bavaresco de Naveda', 'Juliana Porfírio']"
"Workshop Airtable: collecting, tagging and organizing digital knowledge",2018,['Luiz Alberto Bavaresco de Naveda']
Gerenciamento Lúdico de Projetos e Pessoas no Sistema de Arte e Cultura,2018,['Luiz Alberto Bavaresco de Naveda']
Workshop: Music and Motion Workshop,2015,['Luiz Alberto Bavaresco de Naveda']
Workshop: ``Topos'' toolkit for Pure Data: Spatial features of dance gestures for interactive musical applications.,2014,['Luiz Alberto Bavaresco de Naveda']
ESCLING: Encontro Semanal de Conversação em Língua Inglesa,2020,['Luiz Alberto Bavaresco de Naveda']
"&amp;#65532;&amp;#65532;&amp;#65532;Currículo, qualificação de produção e preenchimento da plataforma Lattes",2016,['Luiz Alberto Bavaresco de Naveda']
