TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
A cidade de São João del Rei nas entrelinhas do teatro de revista,2008,Português,7Letras/FAPERJ,['Cláudio Guilarduci'],['1'],['1']
O caipira nas peças de teatro de revista: São João del-Rei e o sertão mineiro,2009,Português,Editora da Universidade do Estado de Minas,['Cláudio Guilarduci'],['1'],['1']
Walter Benjamin - O homem e suas cidades: vida e(m) obras,2014,Português,UFSJ,"['Cláudio Guilarduci', 'Mauro Rocha Baptista']","['1', '2']",['1']
Espaço Urbano e teatro: a Companhia Chiarini no Theatrinho da Villa de São João del-Rei,2014,Português,7Letras,['Cláudio Guilarduci'],['1'],['1']
A loucura em Barbacena: memória claudicante da tempestade,2014,Português,EdUEMG,['Cláudio Guilarduci'],['1'],['1']
Walter Benjamin e o corpo na infância: o sem-jeito mandou lembranças,2015,Português,UFMG,['Cláudio Guilarduci'],['1'],['1']
Elucubrações de um Espectador: Crítica ao Ensaio Aberto de Potestad,2016,Português,Paco Editorial,['Cláudio Guilarduci'],['1'],['1']
Pro-duto estético-pedagógico: uma (des)construção das percepções sensoriais,2015,Português,Mauad X,"['Cláudio Guilarduci', 'Orlando Talarico']","['1', '2']",['1']
"Conversa A-fiada 9de velhos e loucos): história. memória e narrativa - Projeto Extensionista Conversa A-fiada (de loucos e velhos): história, memória e narrativa.",2016,Português,Espaço Artaud,"['Cláudio Guilarduci', 'Romiria Penha Turcheti Vasconcelos', 'Ana Karla Tzortzato Almeida']","['1', '2', '3']",['1']
O lúdico na educação: a questão do método,2018,Português,EdUemg,"['Cláudio Guilarduci', 'Mauro Rocha Baptista']","['1', '2']",['1']
História e memória cultural: imagens e lembranças da infância em Berlim. ?Haveres da infância; um poeta colecionador?. Artigo discute a produção cênica Haveres da infância; Um poeta colecionador (2014).,2018,Português,EdUemg,"['Cláudio Guilarduci', 'Érika Camila dos Santos', 'Janaína Braga Trindade']","['1', '2', '3']",['1']
Benjamin leitor de Brecht: o teatro como sala de exposição. Assombro e resistência. Projeto de Pesquisa Educação das sensibilidades: os pro-ductos estéticos pedagógicos nas Escolas de Educação Básica (Fase II).,2018,Português,Fino Traço,['Cláudio Guilarduci'],['1'],['1']
O corpo que dança com suas memórias: as relações entre o fazer benjaminiano e a arte multissensorial do Parangolé na construção/investigação das sensibilidades do artista docente em cena. Projeto Educação das sensibilidades: os pro-ductos estéticos pedag,2018,Português,Fino Traço,"['Cláudio Guilarduci', 'Érika Camila dos Santos']","['1', '2']",['1']
A educação das sensibilidades: percurso de elaboração de um livro infanto-juvenil,2018,Português,Fonte Editorial,"['Cláudio Guilarduci', 'Janaína Braga Trindade', 'Isis Bay Trindade', 'Amanda Victória Silva']","['1', '2', '3', '4']",['1']
O teatro de revista em São João del-Rei: espaços de lazer,2019,Português,Editora UFMG,['Cláudio Guilarduci'],['1'],['1']
CONVERSAS DE UM POETA COLECIONADOR: A TRANSPOSIÇÃO DA LITERATURA BENJAMINIANA EM DRAMATURGIA PARA O MONÓLOGO ¿HAVERES DA INFÂNCIA; UM POETA COLECIONADOR¿,2019,Português,Atena Editora,"['Santos, Erika Camila Pereira dos', 'Cláudio Guilarduci']","['1', '2']",['2']
A CANÇÃO BRASILEIRA EM REVISTA: O Gramophone em São João del-Rei.,2016,Português,UFSJ,"['Cláudio Guilarduci', 'Janaína de Assis Rufino']","['1', '2']",['1']
