PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
"Dramaturgências: Por um Estudo Comparativo da Performatividade em Textos Teatrais Contemporâneos (CNPq SEMAP/COINF/n. 04513-1/2011 - Processo: 400530/2008-2 - Edital MCT/CNPq 03/2008 - Ciências Humanas, Sociais e Sociais Aplicadas)",2006,ATUAL,PESQUISA,['Alex Beigui de Paiva Cavalcante'],['SIM']
"Entre Damas, Dramas e Dunas: Espaços Performáticos do Sujeito Travestido",2006,2009,PESQUISA,['Alex Beigui de Paiva Cavalcante'],['SIM']
A Cena Luso-Afro-Brasileira: Matrizes Estéticas e Culturais do Teatro de Língua e Expressão Portuguesa,2009,ATUAL,PESQUISA,"['Alex Beigui de Paiva Cavalcante', 'Rita de Cássia Natal Chaves', 'Elisalva Dantas Madruga']","['SIM', 'NAO', 'NAO']"
Dramaturgia e minimalismo,2010,ATUAL,PESQUISA,['Alex Beigui de Paiva Cavalcante'],['SIM']
Bloomsday: encontros e ensaios,2006,ATUAL,EXTENSAO,"['Alex Beigui de Paiva Cavalcante', 'Ana Graça Canan', 'Bruce Stewart', 'Marcelo da Silva Amorim']","['SIM', 'NAO', 'NAO', 'NAO']"
"Cinema, cultura e outras linguagens: emissão, produção e recepção",2016,ATUAL,PESQUISA,"['Alex Beigui de Paiva Cavalcante', 'Maria Helena Braga Vaz da Costa.', 'Maria de Lurdes Barros da Paixão', 'Marcio Venicio Barbosa', 'Gilmar Santana', 'Lisabete Coradini', 'Bianca Freire Medeiros', 'Mariana Cunha', 'Maria Angela Pavan', 'Regina Johas', 'Thiago Chellappa', 'Amanda Mansur', 'Carlos Segundo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Poéticas da Diferença em Cena,2007,ATUAL,EXTENSAO,['Alex Beigui de Paiva Cavalcante'],['SIM']
Teatro da Androginia: metodologia e criação,1999,ATUAL,EXTENSAO,['Alex Beigui de Paiva Cavalcante'],['SIM']
Performances de l?écriture dans Antigone: la (ré)écriture scénique du mythe,2014,ATUAL,PESQUISA,"['Alex Beigui de Paiva Cavalcante', 'Ute Heidmann']","['SIM', 'NAO']"
Antígona para além do horizonte de gênero: a reescritura cênica do mito,2020,ATUAL,PESQUISA,"['Alex Beigui de Paiva Cavalcante', 'Júlio Mourão de Paiva']","['SIM', 'NAO']"
"Do mito ao plágio inventivo: possibilidades de reescritas, remodelagens discursivas e performativas",2021,ATUAL,PESQUISA,"['Alex Beigui de Paiva Cavalcante', 'Almando José Storck Júnior']","['SIM', 'NAO']"
TUI - Teatro Universitário de Informação,2019,ATUAL,EXTENSAO,['Alex Beigui de Paiva Cavalcante'],['SIM']
