TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Pierre Boulez/André Schaeffner. Correspondance,1998,Francês,VAZIO,['Rosângela Pereira de Tugny'],['1'],['1']
Música Hoje,2002,Português,VAZIO,['Rosângela Pereira de Tugny'],['1'],['1']
Correspondance. Pierre Boulez/ André Schaeffner  1954-1970.,2005,Japonês,VAZIO,['Rosângela Pereira de Tugny'],['1'],['1']
Músicas africanas e indígenas no Brasil,2006,Português,VAZIO,"['Rosângela Pereira de Tugny', 'Ruben Caixeta de Queiroz']","['1', '2']",['1']
Mõgmõka yõg Kutex / Cantos do gavião-espírito,2009,Português,VAZIO,"['Rosângela Pereira de Tugny', ""Narradores, escritores e ilustradores tikmu'un Agua Boa""]","['1', '2']",['1']
X&amp;#361;n&amp;#297;m yõg kutex xi ãgtux xi hemex yõg kutex / Cantos e histórias do morcego espírito e do hemex,2009,Português,VAZIO,"['Rosângela Pereira de Tugny', ""Narradores, escritores tikmu'un do Pradinho""]","['1', '2']",['1']
Cantobrilho tikmu'un. Nos limites do país fértil.,2010,Português,VAZIO,['Rosângela Pereira de Tugny'],['1'],['1']
Escuta e poder na estética Tikmu'un,2011,Português,VAZIO,['Rosângela Pereira de Tugny'],['1'],['1']
CANTOS TIKMU UN PARA ABRIR O MUNDO,2013,Português,VAZIO,"['José Ricardo Jamal Júnior', 'Sofia Cupertino', 'André Machado', 'Barbara Viggiano', 'Lucas Alves', 'Arthur Vinícius', 'Rosângela Pereira de Tugny']","['1', '2', '3', '4', '5', '6', '7']",['7']
Cantos do povo gavião-espírito,2014,Português,VAZIO,"['Rosângela Pereira de Tugny', 'Totó Maxakali', 'Zé de Ká Maxakali', 'João Bidé Maxakali', 'Lúcio Flávio Maxakali', 'Zezinho Maxakali', 'Gilmar Maxakali', 'Joviel Maxakali', 'Pinheiro Maxakali']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",['1']
Mogmoka yog kutex,2013,Português,VAZIO,"['Rosângela Pereira de Tugny', 'Tuilá Maxakali', 'Zezinho Maxakali', 'Gilmar Maxakali', 'Totó Maxakali', 'Zé de Ká Maxakali', 'Joviel Maxakali', 'Pinheiro Maxakali', 'João Bidé Maxakali', 'Donisete Maxakali', 'Lúcio Flávio Maxakali']","['1', '10', '11', '2', '3', '4', '5', '6', '7', '8', '9']",['1']
Cantos dos povos morcego e hemex-espíritos,2013,Português,VAZIO,"['Rosângela Pereira de Tugny', 'Toninho Maxakali', 'Ismail Maxakali', 'Rafael Maxakali', 'José Antoninho Maxakali', 'Marquinhos Maxakali', 'Manuel Damaso Maxakali']","['1', '2', '3', '4', '5', '6', '7']",['1']
Xunim yog kutex xi hemex yog kutex,2013,Português,VAZIO,"['Rosângela Pereira de Tugny', 'Toninho Maxakali', 'José Antoninho Maxakali', 'Rafael Maxakali', 'Ismail Maxakali', 'Manuel Damaso Maxakali', 'Marquinhos Maxakali']","['1', '2', '3', '4', '5', '6', '7']",['1']
Bestiário dos Cantos dos Yãmîyxop?,2013,Português,VAZIO,"['isael maxakali', 'Joviel Maxakali', 'Toninho Maxakali', 'Toto Maxakali', 'Donisete Maxakali', 'Mamei Maxakali', 'Zé de Ká Maxakali', 'Rosângela Pereira de Tugny']","['1', '2', '3', '4', '5', '6', '7', '8']",['8']
Xokxop/Bichos,2014,Português,VAZIO,"['Donisete Maxakali', 'Rosângela Pereira de Tugny', 'José Ricardo Jamal Júnior']","['1', '2', '3']",['2']
Xokxop puknõg/ Outros bichos,2014,Bretão,VAZIO,"['Donisete Maxakali', 'Rosângela Pereira de Tugny', 'José Ricardo Jamal Júnior']","['1', '2', '3']",['2']
Hãmnõy yõg xokxop,2014,Português,VAZIO,"['Donizete Maxakali', 'Rosângela Pereira de Tugny', 'José Ricardo Jamal Júnior']","['1', '2', '3']",['2']
Xunim yõg hãm ãgtux / História do Xunim,2014,Bretão,VAZIO,"['Toninho Maxakali', 'Ismail Maxakali', 'Rafael Maxakali', 'Rosângela Pereira de Tugny', 'José Ricardo Jamal Júnior', 'José Antoninho Maxakali']","['1', '2', '3', '4', '5', '6']",['4']
URUTAU,2014,Bretão,VAZIO,"['isael maxakali', 'Rosângela Pereira de Tugny', 'Donizete Maxakali', 'Sofia Cupertino']","['1', '2', '3', '4']",['2']
História do Kotkuphi,2014,Bretão,VAZIO,"['Gilmar Maxakali', 'Badé Maxakali', 'Rosângela Pereira de Tugny']","['1', '2', '3']",['3']
The World of music (new series) vol. 5 (2016) 1. Ethnomusicology in Brazil,2016,Inglês,VAZIO,"['Lühning, Angela Elizabeth', 'Rosângela Pereira de Tugny']","['1', '2']",['2']
Etnomusicologia no Brasil,2016,Português,VAZIO,"['Lühning, Angela Elizabeth', 'Rosângela Pereira de Tugny']","['1', '2']",['2']
Universidade popular e encontro de saberes,2020,Português,VAZIO,"['Rosângela Pereira de Tugny', 'Gustavo Gonçalves']","['1', '2']",['1']
A escola da reconquista,2021,Português,VAZIO,"['Maria José Muniz Andrade Ribeiro', 'Rosângela Pereira de Tugny']","['1', '2']",['2']
Musica Hoje,2000,Português,VAZIO,['Rosângela Pereira de Tugny'],['1'],['1']
