TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Raspas e restos me interessam,2006,Português,7 Letras,['Maria Beatriz Braga Mendonça'],['1'],['1']
Vida de Leocádia,2004,Português,Emcomum Estúdio Livre,['Maria Beatriz Braga Mendonça'],['1'],['1']
Formar e formar-se em teatro,2009,Português,EDUFU,['Maria Beatriz Braga Mendonça'],['1'],['1']
Teatro de movimento no espaço e no tempo: o ato performativo &amp;quot;Convescote do Abílio&amp;quot; no MHAB,2013,Português,Museu Histórico Abílio Barreto,['Maria Beatriz Braga Mendonça'],['1'],['1']
"Para sensibilidades inquietas, ainda é tempo de olhar para Étienne Decroux",2013,Português,Annablume,['Maria Beatriz Braga Mendonça'],['1'],['1']
Corpo-ambiente: redefinições dos espaços criativos da pesquisa - GT Territórios e Fronteiras,2013,Português,ABRACE e AGE,"['Alex Beigui', 'Maria Beatriz Braga Mendonça', 'Ines Link']","['1', '2', '3']",['2']
O florescer do atuador: maneiras de atuação performativa,2014,Português,Letras contemporâneas,['Maria Beatriz Braga Mendonça'],['1'],['1']
Figuras Bufônicas: Cultura Material de Ator e Outros Bichos,2017,Português,Paco Editorial,['Maria Beatriz Braga Mendonça'],['1'],['1']
GESTÃO UNIVERSITÁRIA COM BASES NO FEMINISMO E NAS PRÁTICAS ARTÍSTICAS PERFORMATIVAS,2019,Português,Atena Editora,['Maria Beatriz Braga Mendonça'],['1'],['1']
"A artesania da intimidade na criação de ações poéticas performativas em Ô, bença!",2022,Português,Imprensa da Universidade de Coimbra,['Maria Beatriz Braga Mendonça'],['1'],['1']
Pesquisa em artes cênicas,2013,Português,ABRACE e AGE,"['Maria Beatriz Braga Mendonça', 'Renato Ferracini', 'Rosyane Trotta']","['1', '2', '3']",['1']
