COURSE,YEAR,INTEGRANTES
"Ciência, tecnologia e inovação ao estudo e preservação do patrimonio cultural",2017,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza']"
"Processos e Técnicas de conservação, restauração, análise e diagnóstico da Escultura",2010,['Alessandra Rosado']
"Patrimônio: identificar, conhecer e salvaguardar - Senhora da Glória MG",2009,['Alessandra Rosado']
Ciência da Conservação em Minas Gerais: a experiência da UFMG/LACICOR,2013,['Alessandra Rosado']
Escola temática interdisciplinar,2009,"['Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Alexandre Leão']"
Tópicos em Preservação do Patrimônio,2007,"['Luiz Antônio Cruz Souza', 'Alessandra Rosado', 'Yacy-Ara Froner']"
Curso de Capacitação em Museologia,2006,['Alessandra Rosado']
Conservação Preventiva,2005,['Alessandra Rosado']
Oficina de Conservação de Acervos,2006,['Alessandra Rosado']
Oficina de Conservação de Acervo,2007,['Alessandra Rosado']
Oficina de Coservação de Acervos,2008,['Alessandra Rosado']
Oficina de Cosnervação de Acervos,2007,['Alessandra Rosado']
