TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
O estudo da quarta corda no violino na Variação Barucabà nº27 de Niccolò Paganini,2016,Português,Selo Minas de Som,"['Álisson Carvalho Berbert', 'Edson Queiroz de Andrade']","['1', '2']",['2']
Princípios posturais do arco de violino nas Escolas Nacionais de Violino entre os séculos XVIII e XX,2016,Português,Selo Minas de Som,"['Bruna Caroline de Souza', 'Edson Queiroz de Andrade']","['1', '2']",['2']
"Aspectos Didáticos no 1º movimento do Quarteto Ao Cair da Tarde (1981), para violinos, de Ernst Mahle",2019,Malgaxe,Selo Minas de Som,"['Rafael Ribeiro', 'Edson Queiroz de Andrade']","['1', '2']",['2']
"Por uma Edição Espectrográfica de Performance da gravação de 1942 de Fritz Kreisler da cadência do Concerto em Mi menor para violino e orquestra, de Félix Mendelssohn",2019,Malgaxe,Selo Minas de Som,"['Paula Cordeiro', 'Carlos Aleixo dos Reis', 'Edson Queiroz de Andrade']","['1', '2', '3']",['3']
Exercícios preparatórios para o primeiro movimento do Concerto para Violino e Orquestra de A. Dvorák a partir do modelo de Maxim Jacobsen,2020,Malgaxe,Selo Minas de Som,"['Lucas Barreto', 'Edson Queiroz de Andrade']","['1', '2']",['2']
