TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Topologies du Toucher,2001,Português,Publications de la Sorbonne,['Patricia Dias FRANCA-HUCHET'],['1'],['1']
Flash: contornos e aparências,2004,Português,UFRGS EDITORA,['Patricia Dias FRANCA-HUCHET'],['1'],['1']
Ciudad Invadida,2007,Espanhol,Universitat Politecnica de Valência,"['Patricia Dias FRANCA-HUCHET', 'Liliza Mendes']","['1', '2']",['1']
O Lugar da Imagem,2006,Português,Editora da UFMG,['Patricia Dias FRANCA-HUCHET'],['1'],['1']
DANS L'IMAGE: Photographie (transparence) et peinture (opacité),2010,Francês,Presses de L'Université Laval (Les),['Patricia Dias FRANCA-HUCHET'],['1'],['1']
Da percepção do espaço à imagem do corpo,2009,Português,Comarte,['Patricia Dias FRANCA-HUCHET'],['1'],['1']
EVIDÊNCIAS DA IMAGEM: pinturas e fotografias,2011,Português,Edições do CEIA: centro de experimentação e arte,['Patricia Dias FRANCA-HUCHET'],['1'],['1']
O QUE NA ARTE NOS QUALIFICA?,2010,Português,NAU,['Patricia Dias FRANCA-HUCHET'],['1'],['1']
Fiction Image et narration: les quatre photographes,2011,Português,Ed. Universidade Complutense de Madrid,"['José Manuel Losada Goya', 'Patricia Dias FRANCA-HUCHET']","['1', '2']",['2']
Articulações entre o moderno e o contemporanêo: o que da arte nos qualifica?,2010,Português,PPGArtes da UDESC,"['Patricia Dias FRANCA-HUCHET', 'Annateresa Fabris']","['1', '2']",['1']
Teatralidade da imagem: a experiência do heterônimo nas artes visuais,2014,Português,Editora da Universidade Federal do Pará PPGArtes,['Patricia Dias FRANCA-HUCHET'],['1'],['1']
"LE LIVRE DE ZÉNON PIÉTERS: photographie, montage et fragments d'écriture",2016,Francês,Garnier Classique,['Patricia Dias FRANCA-HUCHET'],['1'],['1']
FOTOGRAFIA E EXPERIÊNCIA: o teatro das construções imaginárias,2017,Português,Ed. Malagueta,"['Guilherme Cunha', 'Kátia Kallak Lombardi', 'Carlos Falci', 'Bruno Vilela', 'Patricia Dias FRANCA-HUCHET', 'MORESCHI, Bruno', 'Anna Karina Bartolomeu', 'Hans Gindlesberger', 'Stéphane Huchet', 'Adolfo Enrique Cifuentes Porras']","['1', '10', '2', '3', '4', '5', '6', '7', '8', '9']",['4']
O bufão no ser e no cerne das coisas,2017,Português,PACO EDITORA,"['Bya Braga', 'José Tonezzi', 'Patricia Dias FRANCA-HUCHET']","['1', '2', '3']",['3']
Oh Noll...e tu?,2019,Português,Ed. Relicário,['Patricia Dias FRANCA-HUCHET'],['1'],['1']
Figuras do tempo: procurando Antígona(s),2021,Português,Arquivo Nacional,"['Luis Cláudio da Costa', 'Patricia Dias FRANCA-HUCHET', 'Hussak, Pedro', 'Leila Maria Brasil Danzinger']","['1', '2', '3', '4']",['2']
História na Arte: três pontos de vista,2013,Português,Intermeios: casa de livros e arte,"['CIRILLO, José', 'Angela Grando', 'Patricia Dias FRANCA-HUCHET']","['1', '2', '3']",['3']
