TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Conservação e Restauração de Bens Culturais Móveis,2000,Português,VAZIO,"['bethania reis veloso', 'Maria Regina Emery Quites', 'beatriz ramos de vasconcelos coelho', 'Anamaria Ruegger Almeida Neves', 'Luiz Antonio Cruz Souza', 'leonardo barci castriota']","['1', '2', '3', '4', '5', '6']",['5']
Jornada de Ciências e Conservação de Bens Culturais,2002,Português,VAZIO,"['Luiz Antonio Cruz Souza', 'Magaly Cabral', 'Maria Luiza Ramos de Oliveira Soares']","['1', '2', '3']",['1']
13 Obras do Patrimônio Cultural Mineiro Restauradas pelo Curso de Especialização em Conservação-Restauração de Bens Culturais Móveis da Escola de Belas Artes da Universidade Federal de Minas Gerais,2002,Português,VAZIO,"['Luiz Antonio Cruz Souza', 'bethania reis veloso']","['1', '2']",['1']
Manual de Conservação Preventiva do Patrimônio Cultural,2002,Português,VAZIO,"['Wívian Diniz', 'Luiz Antonio Cruz Souza']","['1', '2']",['2']
Fórum Brasileiro do Patrimônio Cultural,2004,Português,VAZIO,"['Luiz Antonio Cruz Souza', 'leonardo barci castriota']","['1', '2']",['1']
Caderno de resumos expandidos: pôsteres - II Encontro Luso- Brasileiro de Conservação e Restauração,2013,Português,VAZIO,"['Yacy-Ara Froner', 'Luiz Antonio Cruz Souza', 'Gonçalo de Vasconcelos e Sousa']","['1', '2', '3']",['2']
Caderno de resumos expandidos: comunicações- II Encontro Luso- Brasileiro de Conservação e Restauração,2013,Português,VAZIO,"['Yacy-Ara Froner', 'Luiz Antonio Cruz Souza', 'Gonçalo de Vasconcelos e Sousa']","['1', '2', '3']",['2']
Caderno de resumos: palestrantes - II Encontro Luso-Brasileiro de Conservação e Restauração,2013,Português,VAZIO,"['Yacy-Ara Froner', 'Luiz Antonio Cruz Souza', 'Gonçalo de Vasconcelos e Sousa']","['1', '2', '3']",['2']
"Arte Concreta e Vertentes Construtivas: teoria, crítica e história da arte técnica (Jornadas ABCA-Caderno Palestrantes)",2018,Malgaxe,VAZIO,"['Luiz Antonio Cruz Souza', 'FRONER, YACY-ARA', 'Maria Amélia Bulhões', 'Marília Andrés Ribeiro']","['1', '2', '3', '4']",['1']
"Alfaias Sagradas - Obras do Acervo do Museu Arquidiocesano de Arte Sacra de Mariana, Minas Gerais",2005,Português,VAZIO,"['Luiz Antonio Cruz Souza', 'Antonio Fernando Baptista dos Santos', 'Alessandra Rosado']","['1', '2', '3']",['1']
