COURSE,YEAR,INTEGRANTES
Professor no 4º Festival Café com Música,2012,['Fernando Martins de Castro Chaib']
1º Master Classe de Ritmos Brasileiros - Portugal,2005,['Fernando Martins de Castro Chaib']
2º Master Classe de Ritmos Brasileiros - Portugal,2005,['Fernando Martins de Castro Chaib']
Master Classe de Percussão Ministrado em Portugal,2007,"['Grupo Durum Percussão Brasil', 'Fernando Martins de Castro Chaib']"
2º Master Classe Ministrado no IV Festival Todos los Tambores del Mundo - Venezuela,2007,"['Fernando Martins de Castro Chaib', 'Grupo Durum Percussão Brasil']"
Master Classe Ministrado no 1º Festival Internacional de Percussão ?Tomarimbando? - Portugal,2007,['Fernando Martins de Castro Chaib']
1º Master Classe Ministrado no IV Festival Todos los Tambores del Mundo - Venezuela,2007,"['Fernando Martins de Castro Chaib', 'Grupo Durum Percussão Brasil']"
Master Classe - Conservatorio Brasileiro de Musica - Centro Universitário,2013,['Fernando Martins de Castro Chaib']
Professor no 44º Festival Internacional de Inverno de Campos do Jordão,2013,"['Fernando Martins de Castro Chaib', 'Fábio Zanon']"
Master Classe de Percussão na Fundação Carlos Gomes - PA,2013,['Fernando Martins de Castro Chaib']
Master Classe Ministrado no IA/UNESP,2008,['Fernando Martins de Castro Chaib']
Master Classe de Percussão na UNICAMP,2014,['Fernando Martins de Castro Chaib']
Master Classe de Percussão na UFRN,2014,['Fernando Martins de Castro Chaib']
Master Classe de Percussão na UFBA,2014,['Fernando Martins de Castro Chaib']
Master Classe de Vibrafone,2015,['Fernando Martins de Castro Chaib']
Master Classe com Performance,2015,['Fernando Martins de Castro Chaib']
Master Classe de Vibrafone,2016,['Fernando Martins de Castro Chaib']
Master Classe de Percussão Múltipla,2016,['Fernando Martins de Castro Chaib']
Master Classe de Grupos de Percussão,2016,['Fernando Martins de Castro Chaib']
Master Classe no VII Fesrival de Percussão 02 de Julho - PROEX UFBA,2016,['Fernando Martins de Castro Chaib']
"Master Classe de Percussão no XI Festival Internacional de Percussão Tomarimbando - Tomar, Portugal",2017,['Fernando Martins de Castro Chaib']
Master Classe de Percussão,2017,['Fernando Martins de Castro Chaib']
Master Classe &amp; Group Lessons on Zeltsman Marimba Festival on Tour,2018,['Fernando Martins de Castro Chaib']
Classes de Perfeccionamiento de Percusión,2018,['Fernando Martins de Castro Chaib']
Oficina n.2 'Como tocar o Xilorido',2022,['Fernando Martins de Castro Chaib']
Oficina n.3 'Como tocar o Xilorido',2022,['Fernando Martins de Castro Chaib']
Oficina n.4 'Como tocar o Xilorido',2022,['Fernando Martins de Castro Chaib']
Oficina n.5 'Como tocar o Xilorido',2022,['Fernando Martins de Castro Chaib']
Oficina n.6 'Como tocar o Xilorido',2022,['Fernando Martins de Castro Chaib']
Oficina n.7 'Como tocar o Xilorido',2022,['Fernando Martins de Castro Chaib']
Oficina n.8 'Como tocar o Xilorido',2022,['Fernando Martins de Castro Chaib']
Oficina n.1 'Como tocar o Xilorido',2022,['Fernando Martins de Castro Chaib']
