COURSE,YEAR,INTEGRANTES
Masterclass de órgão na Basílica de Nossa Senhora de Lourdes,2015,['Edite Maria Oliveira da Rocha']
Curso de Órgão - Encontros de Órgão Históricos Tiradentes,2015,"['Elisa Freixo', 'Edite Maria Oliveira da Rocha']"
Curso de Órgão - II Festival Internacional de Música Histórica de Diamantina,2016,['Edite Maria Oliveira da Rocha']
Masterclass de Órgão na Série de Cursos em Órgãos Históricos - Tiradentes (01-04 fevereiro 2017),2017,"['Edite Maria Oliveira da Rocha', 'Elisa Freixo']"
Aulas Abertas da Universidade de Aveiro (Órgão),2013,['Edite Maria Oliveira da Rocha']
Aulas Abertas da Universidade de Aveiro (Órgão),2012,['Edite Maria Oliveira da Rocha']
LX Semana de Estudos Gregorianos: Masterclass de Órgão,2011,['Edite Maria Oliveira da Rocha']
"Masterclass de Órgão - Masterclass Conservatório de Música de Ponta Delgada (Acores, Portugal)",2011,['Edite Maria Oliveira da Rocha']
Aulas Abertas da Universidade de Aveiro (Órgão),2011,['Edite Maria Oliveira da Rocha']
LIX Semana de Estudos Gregorianos: Masterclass de Órgão,2010,['Edite Maria Oliveira da Rocha']
Masterclass de Órgão do Conservatório de Música de Calouste Gulbenkian de Aveiro,2010,['Edite Maria Oliveira da Rocha']
Aulas Abertas da Universidade de Aveiro (Órgão),2010,['Edite Maria Oliveira da Rocha']
Grupo de Trabalho: Ferramentas Tecnológicas para Pesquisa em Música no XXVI Congresso da Anppom - Belo Horizonte/MG,2016,['Edite Maria Oliveira da Rocha']
