TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
&amp;quot;Matemáticas da Música&amp;quot;,2018,Português,Editora Livraria da Física,['Luiz Eduardo Castelões Pereira da Silva'],['1'],['1']
&amp;quot;Musicalizing Sonification&amp;quot;,2016,Inglês,Editions Delatour,['Luiz Eduardo Castelões Pereira da Silva'],['1'],['1']
