COURSE,YEAR,INTEGRANTES
Jornada Cultural,1994,['Jussara Rodrigues Fernandino']
Arte-Educação,2009,['Jussara Rodrigues Fernandino']
Curso Interdisciplinar para Formação de Educadores de Crianças de 0 a 6 anos,1997,['Jussara Rodrigues Fernandino']
Oficina de Música para menores em situação de risco,1995,['Jussara Rodrigues Fernandino']
Sensibilização Musical para professores do CDC,1995,"['Jussara Rodrigues Fernandino', 'Regina Coelho Ferreira']"
Oficina de Artes,2011,"['Jussara Rodrigues Fernandino', 'Maria Luíza Viana', 'Maria Clara Lemos']"
Oficina Música e Expressão Corporal,2019,['Jussara Rodrigues Fernandino']
Corpo e expressividade nos processos de musicalização,2016,['Jussara Rodrigues Fernandino']
Práticas cênico-musicais,2016,['Jussara Rodrigues Fernandino']
Interação cênico-musical,2014,['Jussara Rodrigues Fernandino']
