TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Análise formal do Quarteto de Cordas n.2 (primeiro movimento) de G. Ligeti,1988,,Português,Cadernos de Estudo. Análise Musical,XX,0103-4804,['Rogerio Vasconcelos Barbosa'],['1'],['1'],-99
Escuta (cria)tiva: Propostas para o desenvolvimento da escuta musical na educação básica,2017,10.14516/fde.554,Português,Foro de Educación,A3,1698-7802,"['LOPES DA SILVA, HELENA', 'Rogerio Vasconcelos Barbosa']","['1', '2']",['2'],-99
"Escuta, construção, composição",2020,10.5965/2525530405012020318,Português,ORFEU,A1,2525-5304,['Rogerio Vasconcelos Barbosa'],['1'],['1'],-99
Kurze Schatten II compositional procedures and aesthetic principles,2022,10.35699/2317-6377.2022.36934.,Português,PER MUSI (ONLINE),XX,2317-6377,"['Rogerio Vasconcelos Barbosa', 'Arthur Miranda Azzi']","['1', '2']",['1'],-99
A atra praia de Saturno: o papel estrutural do timbre,2002,,Português,Per Musi (UFMG),C,1517-7599,"['Rogerio Vasconcelos Barbosa', 'Felipe Amorim']","['1', '2']",['1'],-99
