TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Eu não sei desenhar,2010,Português,Papirus,"['Fatima Pinheiro de Barcelos', 'Rosvita Kolb Bernardes']","['1', '2']",['2']
Diários de Aula: rastros da memória. Uma proposta de formação continuada,2010,Português,APECV,"['Rosvita Kolb Bernardes', 'Ana Angélica Albano']","['1', '2']",['1']
Drawings from Minas Gerais,2011,Inglês,Bentham Science Publishers,"['Rosvita Kolb Bernardes', 'Denise Perdigão', 'Teresa Torres da Eça']","['1', '2', '3']",['1']
Para que ter pés se tenho asas para voar?,2014,Português,Eduemg,['Rosvita Kolb Bernardes'],['1'],['1']
"experiência formatival: eu me encanto, tu te encantas, nós nos encantamos.",2014,Português,ufmg,['Rosvita Kolb Bernardes'],['1'],['1']
"Em cada canto, muitas histórias. Em cada canto, outros cantos",2015,Bretão,Escola de Belas Artes da UFMG,['Rosvita Kolb Bernardes'],['1'],['1']
Experiências biográficas: reconhecer-se incompleto,2015,Português,EDUFBA,"['Rosvita Kolb Bernardes', 'Luciana Veloso']","['1', '2']",['1']
O que nos olha: arte se ensina?,2015,Bretão,FaE-UFMG,['Rosvita Kolb Bernardes'],['1'],['1']
Narrativas estéticas na docência: em nós - mãos,2016,Português,CRV,['Rosvita Kolb Bernardes'],['1'],['1']
Um encontro com as crianças:  o que elas nos dizem sobre o que é arte,2019,Português,feusp,"['Rosvita Kolb Bernardes', 'PEREIRA, ANA CRISTINA CARVALHO']","['1', '2']",['1']
Arte da rua na escola,2006,Português,Editora Pucminas,['Rosvita Kolb Bernardes'],['1'],['1']
