COURSE,YEAR,INTEGRANTES
Ritmo e poesia na caligrafia árabe,2002,['Amir Brito Cadôr']
As palavras na pintura,2004,['Amir Brito Cadôr']
O livro de artista na biblioteca,2015,"['Amir Brito Cadôr', 'Diná Marques Pereira Araújo']"
Cartazes xilográficos,2015,['Amir Brito Cadôr']
Breve panorama dos livros de artista no Brasil,2016,['Amir Brito Cadôr']
Usos da fotografia em livros de artista,2016,['Amir Brito Cadôr']
A nova arte de fazer livros,2017,['Amir Brito Cadôr']
Mãos Sujas,2017,['Amir Brito Cadôr']
Pensamento Impresso,2018,['Amir Brito Cadôr']
Arte poética,2019,['Amir Brito Cadôr']
Estrutura Visual do Livro de Artista,2019,['Amir Brito Cadôr']
Teia do Saber - Módulo Artes Visuais. Desenho de observação da figura humana,2005,"['Amir Brito Cadôr', 'Daniela Maura dos Santos']"
Alegoria da Leitura,2020,['Amir Brito Cadôr']
Residência artística - Azero,2021,['Amir Brito Cadôr']
Técnicas de Expressão e Comunicação Visual ? Pintura,2007,['Amir Brito Cadôr']
Museologia e Museografia,2008,['Amir Brito Cadôr']
"Folclore, Cultura Popular e Cultura Brasileira",2007,['Amir Brito Cadôr']
A Estrutura do Livro de Artista,2009,['Amir Brito Cadôr']
Estratégias do Livro de Artista,2009,['Amir Brito Cadôr']
A história e o momento atual do livro de artista,2014,['Amir Brito Cadôr']
