COURSE,YEAR,INTEGRANTES
Aspectos Gerais em Biomecânica,2009,['Álvaro César de Oliveira Penoni']
Anatomia Palpatória,2011,['Álvaro César de Oliveira Penoni']
Anatomia Palpatória - teoria e prática,2010,['Álvaro César de Oliveira Penoni']
Funcional Taping - bandagem elástica,2013,"['Álvaro César de Oliveira Penoni', 'Marcelo Renato Massahud Júnior']"
Anatomia Palpatória,2012,['Álvaro César de Oliveira Penoni']
Lesões musculoesqueléticas,2015,['Álvaro César de Oliveira Penoni']
Avaliação Postural e Testes Especiais em Academia,2017,['Álvaro César de Oliveira Penoni']
Atualização em Exercícios Resistidos,2003,"['Álvaro César de Oliveira Penoni', 'Antônio Júnior', 'Flávio Xavier Martins', 'Américo Pierangelli']"
Ginástica Corretiva - O uso do exercício como base para recuperação funcional,2004,['Álvaro César de Oliveira Penoni']
Atualização em Avaliação Física em Academias,2000,"['Álvaro César de Oliveira Penoni', 'Juracimara Aparecida Flôr Penoni']"
Workshop em Treinamento de Musculação Baseado em Evidências Científicas,2016,"['Álvaro César de Oliveira Penoni', 'Ricardo Dinardi']"
