TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Teatro da Vertigem e a cenografia do campo expandido,2008,,Português,Arquitextos (São Paulo. Online),A2,1809-6298,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
Cogitar a arquitetura teatral,2009,,Português,ARQUITEXTOS (SÃO PAULO),A2,1809-6298,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
Considerações sobre a forma e a percepção do espaço arquitetônico,2009,,Português,Interpretar Arquitetura,XX,1519-468X,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
Do cubo branco teatral ou considerações sobre a moldura,2009,,Português,Interpretar Arquitetura,XX,1519-468X,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
Jogo e vertigem: a arquitetura teatral de,2009,,Português,Interpretar Arquitetura,XX,1519-468X,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
Territórios e Territorialidades artísticas,2010,,Português,Interpretar Arquitetura (UFMG. Online),XX,1519-468X,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
Novas casas: contaminações da urbanidade na constituição da cenografia e da arquitetura teatral,2015,,Português,ARQUITEXTOS (SÃO PAULO),A2,1809-6298,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
O campo ampliado da teatralidade performativa na cenografia contemporânea,2016,,Português,O Percevejo Online,XX,2176-7017,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
Visualidades da cena: um encontro entre cenógrafos e figurinistas de Belo Horizonte,2019,,Português,SUBTEXTO (BELO HORIZONTE),C,1807-5959,"['Cristiano Cezarino Rodrigues', 'Eduardo dos Santos Andrade', 'Branca Peixoto Vasconcelos', 'Tereza Bruzzi de Carvalho', 'Camila Morena', 'Thalita Motta Melo']","['1', '2', '3', '4', '5', '6']",['1'],-99
A UFMG  na mostra dos estudantes da PQ19,2020,,Português,CENA. UFRGS,A3,1519-275X,"['Cristiano Cezarino Rodrigues', 'Tereza Bruzzi de Carvalho', 'Maria Laura de Vilhena Dias e Silva']","['1', '2', '3']",['1'],-99
EPISTEMOLOGÍAS ESCENOGRÁFICAS DEL SUR EN LA PQ19,2020,,Espanhol,"Escena Uno: Escenografía, dirección de arte y puesta en escena",XX,2362-4000,"['Cristiano Cezarino Rodrigues', 'Eduardo dos Santos Andrade', 'Tereza Bruzzi de Carvalho']","['1', '2', '3']",['1'],-99
Capoeira e cenografia: diálogos possíveis pelo espaço,2020,10.5965/14145731023820200005,Português,Urdimento - Revista de Estudos em Artes Cênicas,A1,2358-6958,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
Experimentos didático-pedagógicos sobre a estética da domesticidade e a linguagem da câmera na web,2021,10.5965/1414573102412021e0114,Português,Urdimento (UDESC),A1,1414-5731,"['Cristiano Cezarino Rodrigues', 'Eduardo dos Santos Andrade', 'Tereza Bruzzi de Carvalho']","['1', '2', '3']",['1'],-99
Arquitetura e os novos sinais de fumaça,2010,,Português,Interpretar Arquitetura (UFMG. Online),XX,1519-468X,['Cristiano Cezarino Rodrigues'],['1'],['1'],-99
