INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
pontificia universidade catolica de sp,1973,12,12,12,básico,GRADUACAO,['Problemas Teológicos e Filosóficos do Homem Contemporâneo']
Universidade Estadual de Campinas,1996,06,06,06,Educação Artistica,GRADUACAO,"['Estética e História da Arte II', 'Estética e História da Arte II (Departamento de dança)', 'Evolução das Artes Visuais Brasileiras II (educação artística)', 'Evolução das Artes Visuais II (Educação Artística)', 'Evolução das Artes visuais brasileiras I (Educação Artística)']"
Fundação Armando Álvares Penteado,2001,12,12,12,Educação Artisticas,GRADUACAO,"['Ciencias Sociais', 'Estetica e Historia da Arte I', 'Folclore (Cultura Brasileira)', 'Historia da Arte e do Design no Brasil VI']"
Universidade Anhembi Morumbi,2001,12,12,12,publicidade,GRADUACAO,['Estética e Cultura de Massa']
Centro Universitario Senac,2001,12,12,12,Design de multimídia,GRADUACAO,"['história do design', 'metodologia científica']"
Centro Universitario Senac,2002,,ATUAL,ATUAL,Moda -Estilo e Modelagem,GRADUACAO,"['historia da indumentaria III', 'Cultura Brasileira', 'Estética e História da Arte II', 'História da Indumentária II', 'Moda e Cultura Contemporânea']"
Centro Universitario Senac,2002,12,12,12,Fotografia,ESPECIALIZACAO,['metodologia de pesquisa']
Centro Universitario Senac,2005,,ATUAL,ATUAL,"Mestrado Multidisciplinar em Moda, Cultura e Arte",POS-GRADUACAO,"['Metodologia de Pesquisa', 'Moda e Sociedade', 'Seminarios Tematicos', 'Tópicos especiais em Moda, Cultura e Arte (Sociologia da arte e da moda)']"
Universidade Estadual de Campinas,2008,,ATUAL,ATUAL,Multimeios,POS-GRADUACAO,"['História das Técnicas e das tecnologias nas artes plásticas do século XX.', 'Introdução à crítica de artes: Sociologia da cultura e da arte - cultura de massa e modernidade', 'Seminários experimentais(metodologia de pesquisa)', 'Tópicos Especiais em Artes Visuais: As matrizes da Arte Contemporânea.', 'Tópicos Especiais em Artes Visuais: Sociologia da Arte']"
Universidade Federal de Juiz de Fora,2010,,ATUAL,ATUAL,Bacharelado Interdisciplinar de Artes e Design,GRADUACAO,"['Análise das Linguagens Contemporâneas II (Sociologia da Arte)', 'História da Arte Brasileira (Arte e História IV)', 'História da Arte Moderna e Contemporânea (Arte e História III)', 'História da Moda I e II', 'Introdução à Crítica das Artes (Sociologia da Arte)', 'Seminário de Atualidades Culturais (Sociologia da Arte)']"
Universidade Federal de Juiz de Fora,2013,,ATUAL,ATUAL,"Programa Pós-Graduação:Artes, Cultura e Linguagens",POS-GRADUACAO,"['Metodologia de Pesquisa em Artes, Cultura e Linguagens', 'Teorias da Arte (Sociologia da Arte)', 'Tópicos em Artes, Cultura e Linguagens']"
Universidade Federal de Juiz de Fora,2014,,ATUAL,ATUAL,Ciências Sociais,POS-GRADUACAO,"['orientação, ensina e pesquisa']"
