COURSE,YEAR,INTEGRANTES
"Curso de Biodeteriorização e Conservação em Museus, Bibliotecas e Patrimônio Cultural",2002,['Luiz Antonio Cruz Souza']
Conservação Preventiva,1998,['Luiz Antonio Cruz Souza']
Museografia: Conservação/Climatização,2002,['Luiz Antonio Cruz Souza']
Organizações que lidam com o Patrimônio,2002,['Luiz Antonio Cruz Souza']
Conservação,2006,"['Luiz Antonio Cruz Souza', 'YacyAra Froner']"
Mini-Curso Conservação em Museus,2006,"['Luiz Antonio Cruz Souza', 'Wivian Patricia Pinto Diniz', 'Leonardo Barreto']"
Métodos Analíticos no Estudo de Arte e Arqueologia: Processo de Decisão e Estudos de Caos,2009,['Luiz Antonio Cruz Souza']
História da Arte e Técnica e Documentação Científica por Imagem,2009,['Luiz Antonio Cruz Souza']
Oficina (documentário de acervo) do Projeto BHIS III - Belo Horizonte Imagem e Som - 3° edição,2007,['Luiz Antonio Cruz Souza']
Museografia: Conservação/Climatização,2005,['Luiz Antonio Cruz Souza']
"Microscopia, Pigmentos, Douramento, Resinas e Técnicas de Análise",2009,"['Luiz Antonio Cruz Souza', 'Isolda Mendes']"
A Importância da Conservação Preventiva em Bibliotecas e Arquivos,2000,['Luiz Antonio Cruz Souza']
Seminário Intensivo: Gerenciamento Ambiental em Museus: diagnóstico de Conservação,2000,['Luiz Antonio Cruz Souza']
Aplicações Da Química Na Análise Científica e Conservação/Restauração De Bens Culturais,1998,['Luiz Antonio Cruz Souza']
"CIÊNCIA, TECNOLOGIA E INOVAÇÃO APLICADOS AO ESTUDO E PRESERVAÇÃO DO PATRIMÔNIO CULTURAL",2017,"['Luiz Antonio Cruz Souza', 'Alessandra Rosado', 'Antonio Sgamellotti', 'Andrew Thorn']"
"Bens em Suporte de Madeira: Identificação das Técnicas, Danos, Patologia e Critérios de Intervenção",2018,"['Luiz Antonio Cruz Souza', 'Amanda Cristina A Cordeiro', 'Thiago Puglieri']"
Curso Douramento e Restauração de douramento,2000,"['Luiz Antonio Cruz Souza', 'Michael Parfett', 'Gina Gomes Machado']"
Conservação-Restauração de Bens Culturais: Arquitetura e Coleções: Uma Perspectiva Interdisciplinar,2000,"['Luiz Antonio Cruz Souza', 'Flávio Lemos Carsalade', 'Fernanda Borges de Moraes', 'leonardo barci castriota']"
Control Climático en los Museos,1999,"['Gael de Guichen', 'Benoit de Tapol', 'Luiz Antonio Cruz Souza', 'Paloma Mujica Gonzales', 'Monica Bahamondes', 'Eliseo Peres Medina']"
SPC98 - Principios Cientificos de la Conservación - Curso Regional para América Latina,1998,"['Luiz Antonio Cruz Souza', 'Katriina Simila']"
CUC2001 - Conservación y Uso de Colecciones - Curso Regional para América Latina,2001,"['Luiz Antonio Cruz Souza', 'Katriina Simila']"
Taller en Edificios de Museos y sus Colecciones - Un proyecto del Consorcio Latinoamericano de Formación en Conservación Preventiva,2001,"['Luiz Antonio Cruz Souza', 'Kathleen Dardes']"
Tópicos em Preservação de Patrimônio,2007,"['Luiz Antonio Cruz Souza', 'Yacy-Ara Froner', 'Alessandra Rosado', 'Pedro de Brito Soares']"
