PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Educação Física escolar: implicações legais e pedagógicas de sua relação com estabelecimentos comercializadores de práticas corporais.,1999,2000,PESQUISA,"['Rita de Cassia Fernandes Miranda', 'Lino Castellani Filho']","['SIM', 'NAO']"
Do tecido à lona: as práticas circenses na formação inicial em educação física.,2012,2014,PESQUISA,"['Rita de Cassia Fernandes Miranda', 'Eliana Ayoub']","['SIM', 'NAO']"
"Significados da ginástica para mulheres praticantes: corpo, saúde e envelhecimento.",2002,2004,PESQUISA,"['Rita de Cassia Fernandes Miranda', 'Silvana Vênancio']","['SIM', 'NAO']"
O circo na universidade: mapeamento e análise da implementação em Instituições de Ensino Superior brasileiras,2017,2019,PESQUISA,['Rita de Cassia Fernandes Miranda'],['SIM']
Circo social brasileiro: a experiencia de Uberlandia-MG,2017,2018,PESQUISA,['Rita de Cassia Fernandes Miranda'],['SIM']
Projeto de atividades circenses para crianças (PROCIRCO).,2018,ATUAL,EXTENSAO,['Rita de Cassia Fernandes Miranda'],['SIM']
Programa de Atividade Física para Pessoas com Deficiência,1985,ATUAL,EXTENSAO,"['Rita de Cassia Fernandes Miranda', 'Solange Rodovalho Lima']","['SIM', 'NAO']"
Encontros Abertos de Circo,2019,ATUAL,EXTENSAO,['Rita de Cassia Fernandes Miranda'],['SIM']
Pedagogias do circo na extensão universitária: diálogos entre a educação física e as artes,2019,2021,PESQUISA,['Rita de Cassia Fernandes Miranda'],['SIM']
"O circo, o corpo e suas visibilidades: uma cartografia de ações extensionistas em instituições de ensino superior brasileiras",2021,ATUAL,PESQUISA,['Rita de Cassia Fernandes Miranda'],['SIM']
