TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
"As transformações da condição de artista plástico na modernidade- Uma perspectiva de análise a partir do ateliê do artista, Projeto História",2002,,Português,Projeto História (PUCSP),A3,0102-4442,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Modernidade radical. Revista Nexos,2001,,Português,Revuista Nexos,XX,-,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Cultura audiovisual e arte contemporânea.,2001,,Português,São Paulo em Perspectiva (Impresso),XX,0102-8839,"['Jose Mario Ortiz Ramos', 'Maria Lucia Bueno Ramos']","['1', '2']",['2'],-99
Das vitrines ao vídeo: de Mary Cassat à Robert Longo. As matrizes da arte na modernidade. Nova Revista de História da Arte e Arqueologia,2000,,Português,Revista de História da Arte e Arqueologia,XX,1413-0874,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Entrevista com Nelson Felix. Cadernos de Pós-graduação do IA-UNICAMP,1998,,Português,Cadernos de Pós-Graduação da UNICAMP,XX,1516-0793,"['Maria Lucia Bueno Ramos', 'Renata Lucas']","['1', '2']",['1'],-99
Da boêmia ao mercado: transformações no mundo da arte moderna na década de 1960,1997,,Português,Cadernos de Pós-Graduação da UNICAMP,XX,1516-0793,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
"Nem apocalípticos, nem integrados: perspectivas das artes plásticas no final do milênio",1996,,Português,Cultura Vozes,XX,0104-222X,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Dois papas da Pop-art;: o despravador Warhol e o clássico Lichtenstein. Revista Cultura Vozes,1996,,Português,Cultura Vozes,XX,0104-222X,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Os mundos da arte de Milton Dacosta. Perspectivas. revista de Ciências Sociais da UNESP,1995,,Português,Perspectivas (São Paulo),C,0101-3459,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
A modernidade do olhar nas artes visuais. Revista Cultura Vozes,1995,,Português,Cultura Vozes,XX,0104-222X,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
"Retratos Ibéricos (Jámon, Jámon-Huevos de Oro -La teta y la luna). Revista Cultura Vozes",1995,,Português,Cultura Vozes,XX,0104-222X,"['Maria Lucia Bueno Ramos', 'Jose Mario Ortiz Ramos']","['1', '2']",['1'],-99
O mercado de galerias e o comércio de arte moderna. São Paulo e rio de Janeiro nos anos 1950-1960. Revista Estado e Sociedade.,2005,,Português,Sociedade e Estado (UnB. Impresso),A1,0102-6992,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Por que ler diana crane?,2009,,Português,"Dobras (Barueri, SP)",A2,1982-0313,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
&amp;quot; A praia e as ninfas modernas&amp;quot;,2009,,Português,"Iara: Revista de Moda, Cultura e Arte",B2,1983-7836,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Por que ler Daniel Roche?,2010,,Português,"Dobras (Barueri, SP)",A2,1982-0313,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
'Do moderno ao contemporaneo: uma perspectiva sociologica da modernidade nas artes plasticas,2010,,Português,Revista de Ciências Sociais (UFC),XX,0041-8862,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Por que ler Frederic Monneyron?,2010,,Português,"Dobras (Barueri, SP)",A2,1982-0313,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Erotisme et culture populaire dans le modernisme brésilien,2008,,Francês,Revue Silène. Centre de recherches en littérature et poétique comparées de Paris Ouest-Nanterre-La Défense,XX,2105-2816,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
Une modernité brésilienne&amp;nbsp;: art moderne et marché de l'art à São Paulo et Rio de Janeiro au milieu du XX siècle,2014,10.3917/soart.022.0113,Francês,Sociologie de l'Art,XX,0779-1674,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
' Por que ler Colin Campbell',2013,,Português,"Dobras (Barueri, SP)",A2,1982-0313,['Maria Lucia Bueno Ramos'],['1'],['1'],-99
