COURSE,YEAR,INTEGRANTES
Ator-criador,1994,['Fernando Antonio Mencarelli']
I Mostra de Teatro Juvenil/Associação de Amparo ao Menor Carente/AMENCAR,1993,['Fernando Antonio Mencarelli']
Teatro Musical: uma abordagem contemporânea,2004,"['Fernando Antonio Mencarelli', 'Francisco Pelúcio', 'Babaya', 'Maurílio Rocha', 'Gustavo Cerqueira Guimarães']"
O ator criador,2005,['Fernando Antonio Mencarelli']
Crítica em Artes Cênicas,2006,"['Sara Rojo', 'Fernando Antonio Mencarelli']"
Teoria e História das Artes Cênicas,2006,['Fernando Antonio Mencarelli']
Oficina de teatro do Galpão Cine Horto,2006,['Fernando Antonio Mencarelli']
Teatro e Cidadania: População de Rua (para bolsistas de extensão),1997,['Fernando Antonio Mencarelli']
IV Treinamento de Professoras Leigas,1983,['Fernando Antonio Mencarelli']
O ator criador e o olhar do 'espectador profissional': 0bservando a atuação segundo o método das ações físicas,2014,['Fernando Antonio Mencarelli']
História e Teorias da Arte: Artes Cênicas,2007,['Fernando Antonio Mencarelli']
