COURSE,YEAR,INTEGRANTES
Oficina: Iniciação ao Clown,2000,['Ana Elvira Wuo']
Visitador I,1998,['Ana Elvira Wuo']
Visitador II,1998,['Ana Elvira Wuo']
Oficina: Aprendizes de Clown - Brincadeira de Picadeiro I,2000,['Ana Elvira Wuo']
Aprendizes de Clown II - manutenção ao trabalho do clown - turma B,2000,['Ana Elvira Wuo']
Clown,2000,['Ana Elvira Wuo']
Aprendizes de Clown II - manutenção ao trabalho do clown - turma A,2000,['Ana Elvira Wuo']
Oficina de Voz,2000,['Ana Elvira Wuo']
"Curso Aprendizes de Clown II - manutenção ao trabalho do clown, para turma B",2000,['Ana Elvira Wuo']
Oficina 'Aprendiz de Clown',1999,['Ana Elvira Wuo']
Curso de Clown (Síndrome de Down),1997,['Ana Elvira Wuo']
Treinamento Básico do Ator,1997,['Ana Elvira Wuo']
Treinamento Técnico e Vocal do Ator,1996,['Ana Elvira Wuo']
Curso Aprendiz de Clown (iniciação),2006,['Ana Elvira Wuo']
Construção de Personagem,2005,['Ana Elvira Wuo']
Oficina de 'Clown',2002,['Ana Elvira Wuo']
Workshop de formação técnica e artística 'O Aprendiz de Clown',2002,['Ana Elvira Wuo']
Aprendiz de Clown II,2002,['Ana Elvira Wuo']
explorando o brincar no picadeiro: A lógica do erro por meio do clown,2002,['Ana Elvira Wuo']
Oficina de picadeiro com o 'Clown visitador',1997,['Ana Elvira Wuo']
"CLOWN - Técnica de jogos teatrais, elaboração e construção do clown, abordagem teórico-prática",2002,['Ana Elvira Wuo']
Brincando no Picadeiro - a lógica do erro,2001,['Ana Elvira Wuo']
"Clown, Poesia em Ação",2007,['Ana Elvira Wuo']
Oficina O Corpo Sonoro,2005,['Ana Elvira Wuo']
Iniciação de Clown,2002,['Ana Elvira Wuo']
Iniciação Teatral,2002,['Ana Elvira Wuo']
Arteterapia:diferentes Contextos e Populações,2005,['Ana Elvira Wuo']
Mímesis Corpórea,2008,['Ana Elvira Wuo']
Vivencias artisticas no contexto asilar - O clown Visitador,2001,['Ana Elvira Wuo']
O tau do claun,1998,['Ana Elvira Wuo']
Clown-palhaço,2009,['Ana Elvira Wuo']
Processo de iniciação de clown,2009,['Ana Elvira Wuo']
As congadas de São Paulo,2009,"['Valdir Luciano Pfeifer da Silva', 'Ana Elvira Wuo']"
Workshop de clown/Bufão,2008,['Ana Elvira Wuo']
Clown,2010,['Ana Elvira Wuo']
Clown,2010,['Ana Elvira Wuo']
Linguagem corporal e dramaturgia para o direito,2010,"['Ana Elvira Wuo', 'GATTONI, A.( Andrea Gattoni)']"
Linguagem corporal e dramatização para o direito,2010,"['Ana Elvira Wuo', 'GATTONI, A.( Andrea Gattoni)']"
Harmônicos Vocais,2010,"['Ana Elvira Wuo', 'FOSSA, Marina']"
Dinamicas corporais- as possibilidades de ser,2010,"['Ana Elvira Wuo', 'Fossa, Lígia']"
"Treinamento do ator: vivência experimental, manipulação e dinâmica com materiais",2010,['Ana Elvira Wuo']
"O Clown: transformação, comicidade e criação",2010,['Ana Elvira Wuo']
Workshop de palhaço/clown,2011,['Ana Elvira Wuo']
Clown- palhaço teatral,2005,['Ana Elvira Wuo']
Congada,2012,"['Ana Elvira Wuo', 'Valdir Luciano Pfeifer da Silva']"
Congada,2012,"['Ana Elvira Wuo', 'Valdir Luciano Pfeifer da Silva']"
Oficina Maquiagem Clown,2012,['Ana Elvira Wuo']
Dramacontação,2013,"['Ana Elvira Wuo', 'Eliana OliveiraEliana Kefalás OliveiraEliana Kefalás Oliveir']"
Oficina de maquiagem: mostre a sua Cara Palhaço,2014,['Ana Elvira Wuo']
Oficina de iniciação de palhaço/clown: a escuta do olhar no contexto hospitalar,2017,['Ana Elvira Wuo']
Aprendiz de Clown Multimidia,2006,['Ana Elvira Wuo']
Oficina de clown,2002,['Ana Elvira Wuo']
Oficina Clown Palhaço Teatral,2005,['Ana Elvira Wuo']
Clown Visitador I - brincadeira no picadeiro,1998,['Ana Elvira Wuo']
Oficina Aprendiz de Clown,2003,['Ana Elvira Wuo']
Oficina Clown 'Brincadeira de Picadeiro',2006,['Ana Elvira Wuo']
Manutenção do Clown,2004,['Ana Elvira Wuo']
Curso Aprendiz de Clown,2004,['Ana Elvira Wuo']
Clown Visitador I - brincando no picadeiro,1998,['Ana Elvira Wuo']
Clown Visitador II -  trabalho artístico e técnico no picadeiro,1998,['Ana Elvira Wuo']
Oficina Aprendiz de Clown,2005,['Ana Elvira Wuo']
Clown,2005,['Ana Elvira Wuo']
Oficina de iniciação de palhaços,2005,['Ana Elvira Wuo']
Aprendiz do Clown,2005,['Ana Elvira Wuo']
Oficina 'Visitadores da Graça',2006,['Ana Elvira Wuo']
"Workshop Clown, Brincadeira no Picadeiro",2006,['Ana Elvira Wuo']
Iniciação ao Clown,2004,['Ana Elvira Wuo']
Elaboração de Personagem,2004,['Ana Elvira Wuo']
Mini-curso O imaginário na construção do conhecimento,2003,['Ana Elvira Wuo']
Curso de Manutenção de Clown,2003,['Ana Elvira Wuo']
Cursos Aprendiz de Clown I e Processos Criativos em Clown,2003,['Ana Elvira Wuo']
O Corpo Sonoro,2002,['Ana Elvira Wuo']
Aprendiz de Clown,2002,['Ana Elvira Wuo']
Oficina vocal 'O corpo sonoro',2001,['Ana Elvira Wuo']
Curso de Voz-Ressonadores,2001,['Ana Elvira Wuo']
Elaboração de Personagem,2001,['Ana Elvira Wuo']
Aprendiz de Clown I e o nível avançado II,2002,['Ana Elvira Wuo']
Aprendizes de Clown I,2001,['Ana Elvira Wuo']
O Corpo Sonoro,2000,['Ana Elvira Wuo']
Oficina: Aprendizes de Clown - Brincaderas no Picadeiro,2000,['Ana Elvira Wuo']
Explorando o Brincar no Picadeiro II,2001,['Ana Elvira Wuo']
Oficina de voz 'Corpo Sonoro',2001,['Ana Elvira Wuo']
