COURSE,YEAR,INTEGRANTES
Encenaç&amp;#257;o Contemporânea. Entre ver e ouvir: desvios e viés do textocentrismo,2021,['Maria Clara Guimaraes Ferrer Carrilho']
Etats de fête. La Choralité,2010,['Maria Clara Guimaraes Ferrer Carrilho']
Les petites annonces / Atelier d'écriture,2009,['Maria Clara Guimaraes Ferrer Carrilho']
Présence et Paysage,2010,['Maria Clara Guimaraes Ferrer Carrilho']
Ecritures chorégraphiques,2010,"['Maria Clara Guimaraes Ferrer Carrilho', 'CATHARINA, Nathalia']"
Masques de soi. Variations autour de l'auto-fiction,2009,['Maria Clara Guimaraes Ferrer Carrilho']
Masterclass VOIX PRESENCE ET ESPACE - PARIS II - MASTER DE CREATION,2017,"['Maria Clara Guimaraes Ferrer Carrilho', 'MOTA, Juliana.']"
"Oficina intensiva: VOz, presença e espaço",2017,"['Maria Clara Guimaraes Ferrer Carrilho', 'MOTA, Juliana.']"
Oficina de dramaturgia/ Intranquilité,2017,"['Maria Clara Guimaraes Ferrer Carrilho', 'Marcus Borja']"
Looking for Merteuil,2011,['Maria Clara Guimaraes Ferrer Carrilho']
