COURSE,YEAR,INTEGRANTES
Cultura de Moda,2009,['Maria Claudia Bonadio']
Diálogos entre Moda e Arte,2007,['Maria Claudia Bonadio']
Dos manuais de boas maneiras às capas de revistas: Introdução à Sociologia da Moda,2002,['Maria Claudia Bonadio']
Teoria e História da Moda Contemporânea,2009,['Maria Claudia Bonadio']
Panorama da Moda,2008,['Maria Claudia Bonadio']
Diálogos entre Moda e Arte,2008,['Maria Claudia Bonadio']
História da Indumentária e da Moda na Pós-Graduação em Moda e Criação da Universidade Estadual de Goiás,2011,['Maria Claudia Bonadio']
Moda e arte contemporânea,2013,['Maria Claudia Bonadio']
Moda e Arte Contemporânea,2013,['Maria Claudia Bonadio']
Moda brasileira: trajetórias e perspectivas,2015,['Maria Claudia Bonadio']
Moda e gênero: Uma perspectiva história,2017,['Maria Claudia Bonadio']
"Moda, museu e identidade: do local para o global",2017,['Maria Claudia Bonadio']
"História da indumentária e da moda no Brasil,",2016,['Maria Claudia Bonadio']
Moda e arte contemporânea,2013,['Maria Claudia Bonadio']
Moda e gênero: Uma perspectiva histórica,2018,['Maria Claudia Bonadio']
Moda e gênero: uma perspectiva histórica,2021,"['Maria Claudia Bonadio', 'Paulo de Oliveira Rodrigues Júnior']"
História da moda,2008,['Maria Claudia Bonadio']
