TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Mutus Liber,2003,,Português,Cadernos de Gravura,XX,1679-4214,['Amir Brito Cadôr'],['1'],['1'],-99
métodos,2005,,Português,Revista Critério,XX,-,['Amir Brito Cadôr'],['1'],['1'],-99
O Signo Infantil em Livros de Artista,2012,,Português,Pós: Revista do Programa de Pós-graduação em Artes da Escola de Belas Artes da UFMG,A3,1982-9507,['Amir Brito Cadôr'],['1'],['1'],-99
"The Children's Sign in Artists' Books. The Journal of Artists' Books, v. 29, p. 32-41, 2011",2011,,Inglês,The Journal of Artists' Books,XX,1085-1461,['Amir Brito Cadôr'],['1'],['1'],-99
Coleção especial: livros de artista na biblioteca,2012,,Português,Pós: Revista do Programa de Pós-graduação em Artes da Escola de Belas Artes da UFMG,A3,1982-9507,['Amir Brito Cadôr'],['1'],['1'],-99
O livro de artista como espaço expositivo: quando a exposição continua no catálogo,2012,,Português,ESTUDIO,B1,1647-6158,['Amir Brito Cadôr'],['1'],['1'],-99
Apropriação e plágio em livros de artista,2014,,Português,Revista Valise,C,2236-1375,['Amir Brito Cadôr'],['1'],['1'],-99
"Bibliotecas, catálogos e coleções",2015,10.5433/1981-8920.2015v20n2p205,Português,Informação &amp; Informação (Online),XX,1981-8920,['Amir Brito Cadôr'],['1'],['1'],-99
O livro de artista hoje: apontamentos a partir da exposição Livro/Obra,2012,,Português,Pós: Revista do Programa de Pós-Graduação em Artes,A3,1982-9507,"['Maria do Carmo de Freitas Veneroso', 'Amir Brito Cadôr']","['1', '2']",['2'],-99
The book as performance,2019,,Inglês,The Blue Notebook,XX,1751-1712,['Amir Brito Cadôr'],['1'],['1'],-99
Conceptual Comics,2020,,Português,Sans Niveau Ni Mètre,XX,1959-674X,['Amir Brito Cadôr'],['1'],['1'],-99
Poemics: poems and comics,2020,,Inglês,OEI MAGAZINE,XX,1404-5095,['Amir Brito Cadôr'],['1'],['1'],-99
Publicamos para encontrar camaradas,2020,10.11606/issn.2178-0447.ars.2020.164764,Português,ARS (SÃO PAULO),A1,1678-5320,['Amir Brito Cadôr'],['1'],['1'],-99
Matéria de poesia: o pensamento impresso nos livros de artista,2020,10.24220/2595-9557v3e2020a4972,Português,Pós-Limiar,XX,2595--9557,['Amir Brito Cadôr'],['1'],['1'],-99
O que é arte?,2020,10.14393/eda-v1-n2-2020-57573,Português,Revista Estado da Arte,XX,2675-4576,['Amir Brito Cadôr'],['1'],['1'],-99
EUGENE FELDMAN E ALOÍSIO MAGALHÃES: DOORWAY TO PORTUGUESE,2021,10.24220/2595-9557v4e2021a4976,Português,Pós-Limiar,XX,2595--9557,"['Clifton Meador', 'Amir Brito Cadôr']","['1', '2']",['2'],-99
A fotografia e a palavra no livro de artista,2021,10.14195/2182-8830_9-1_2,Português,MATLIT: MATERIALIDADES DA LITERATURA,A3,2182-8830,['Amir Brito Cadôr'],['1'],['1'],-99
Poesia como arte insurgente,2021,,Português,Jornal,XX,2184-884X,['Amir Brito Cadôr'],['1'],['1'],-99
'Prima Facie': um estudo sobre as capas dos livros de artista,2021,10.36025/arj.v8i2.24826,Português,ART RESEARCH JOURNAL,A3,2357-9978,['Amir Brito Cadôr'],['1'],['1'],-99
Books about nothing,2014,,Inglês,The Blue Notebook,XX,1751-1712,['Amir Brito Cadôr'],['1'],['1'],-99
