TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Artes Plásticas no século XX : Modernidade e globalização(2a. Edição) Unicamp/Imprensa Oficial/FAPESP,2001,Português,VAZIO,['Maria Lucia Bueno Ramos'],['1'],['1']
"Corpo, território da cultura, São Paulo: Annablume, 2005",2005,Português,VAZIO,"['Maria Lucia Bueno Ramos', 'Ana Lucia de castro']","['1', '2']",['1']
"Artes Plásticas no século XX. Modernidade e globalização, 1 a. edição(Unicamp/FAPESP)",1999,Português,VAZIO,['Maria Lucia Bueno Ramos'],['1'],['1']
Cultura e consumo. Estilos de vida na contemporaneidade,2008,Português,VAZIO,"['Maria Lucia Bueno Ramos', 'luiz octavio lima camargo']","['1', '2']",['1']
"Corpo, territorio da cultura",2009,Português,VAZIO,"['Maria Lucia Bueno Ramos', 'Ana Lucia de castro']","['1', '2']",['1']
"Dossiê: Moda e Teoria Social , Iara, Revista de Moda, Cultura e Arte,no.1,vol.1",2008,Português,VAZIO,"['Maria Lucia Bueno Ramos', 'Diana Crane']","['1', '2']",['1']
"Dossiê:Jovens Pesquisadores: Arte, Moda e Design no Brasil, Iara Revista de Moda Cultura e Arte",2009,Português,VAZIO,"['Maria Lucia Bueno Ramos', 'Elisabeth Murilho da Silva']","['1', '2']",['1']
"Diana Crane. Ensaios em Moda, Arte e Globalização Cultural",2011,Português,VAZIO,"['Maria Lucia Bueno Ramos', 'Diana Crane']","['1', '2']",['1']
Sociologia das Artes Visuais no Brasil,2012,Português,VAZIO,['Maria Lucia Bueno Ramos'],['1'],['1']
"Artes Plasticas no Século XX: Modernidade e Globalização (The ICAA Digital Archive/MFA/Houston, USA)",2015,Português,VAZIO,"['Maria Lucia Bueno Ramos', 'Maria Lucia Bueno']","['1', '2']",['1']
"Dossiê: Reflexões em Moda, Cultura e Arte, NAVA vol.2no1",2017,Bretão,VAZIO,"['Maria Lucia Bueno Ramos', 'Elisabeth Murilho da Silva', 'Raquel Quinet']","['1', '2', '3']",['1']
"Dossiê: Alimentation et Gastronomie, Brésil(s) -Sciences Humaines et Sociales, vol 1, serie 17",2020,Francês,VAZIO,"['Maria Lucia Bueno Ramos', 'denise Bernuzzi Sant Anna']","['1', '2']",['1']
Dossiê: O desenho em Perspectiva REVISTA NAVA,2020,Português,VAZIO,"['Maria Lucia Bueno Ramos', 'Renata Oliveira Caetano']","['1', '2']",['1']
Arte e cultura na modernidade-mundo: sociologia da cultura e da arte (ensaios),2021,Português,VAZIO,['Maria Lucia Bueno Ramos'],['1'],['1']
"Dossiê : Arte, Mundo. Revista Nava, vol.1 no. 2",2016,Bretão,VAZIO,"['Maria Lucia Bueno Ramos', 'Ligia Dabul']","['1', '2']",['1']
