PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Os artistas plásticos brasileiros e a globalização,1996,1999,PESQUISA,"['Maria Lucia Bueno Ramos', 'Renata Lucas', 'marcelo Moscheta', 'Ronaldo Macedo Brandão', 'Hosana Celeste de Oliveira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
História social da arte no Brasil,1991,1994,PESQUISA,"['Maria Lucia Bueno Ramos', 'Sergio Miceli', 'Silvana Rubino', 'Leopolodo Waizbort', 'Rui Moreira Leite', 'Heloisa Pontes', 'Paulo Menezes', 'Maria arminda N. Arruda']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Políticas Culturais e meios de comunicação:arte contemporânea e novas formas de socialização,2001,2002,PESQUISA,['Maria Lucia Bueno Ramos'],['SIM']
Artistas da moda e antropologos da cozinha:estilistas e chefes. Tradições culturais brasileiras e estilos de vida na mundialização.,2007,2009,PESQUISA,"['Maria Lucia Bueno Ramos', 'Andressa Campideli', 'Elizete Menezes Messias', 'Raquel Abramant de Souza']","['SIM', 'NAO', 'NAO', 'NAO']"
Das butiques a São Paulo Fashion Week: historia e organização do campo da moda no Brasil.,2007,2009,PESQUISA,"['Maria Lucia Bueno Ramos', 'Ana Lucia de castro', 'Luiz Octavio de Lima Camargo', 'Adriana Regen', 'anamelia bueno buoro', 'Elisabeth Murilho da Silva', 'Cristiane Von Atzingen Gurgel', 'Ludmila Prado Massarotto', 'Andressa Campideli', 'Elizete Menezes Messias', 'Gabriela Duarte', 'Luciana Maia de Souza', 'Ana Maria Amorim Mitidieri', 'Angelina Maria carvalhais', 'Raquel Abramant de Souza', 'Fabio Pereira Furlan', 'Cibele Rodrigues', 'Nathalia Mallofré', 'Gabriela silveira Franz']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Moda e Arte: Alta Costura e Alta Cultura.A dinâmica da moda na mundialização da cultura: da distinção social aos estilos de vida.,2005,2009,PESQUISA,"['Maria Lucia Bueno Ramos', 'Adriana Regen', 'Celia Auxiliadora Fernandes', 'Rui Gonsalves de souza']","['SIM', 'NAO', 'NAO', 'NAO']"
"Moda, Arte e Indústria Cultural. A construção de uma modernidade à brasileira na mundialização.",2004,2006,PESQUISA,['Maria Lucia Bueno Ramos'],['SIM']
Artistas e seus ateliês,1999,2001,PESQUISA,['Maria Lucia Bueno Ramos'],['SIM']
A dinâmica globalizada da arte contemporânea,2001,2002,PESQUISA,['Maria Lucia Bueno Ramos'],['SIM']
Politiques culturelles et moyen de communication. art contemporain et nouvelles formes de socialisation,2001,2002,PESQUISA,['Maria Lucia Bueno Ramos'],['SIM']
"moda, arte e industria cultural",2005,2005,PESQUISA,['Maria Lucia Bueno Ramos'],['SIM']
