TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
"'Pérolas' e 'Pepinos' do Contrabaixo: Um Compêndio para Musicólogos, Analistas, Compositores, Perfórmeres e Educadores Musicais",2004,Português,VAZIO,['Fausto Borém'],['1'],['1']
Um sistema sensório-motor de controle da afinação no contrabaixo: contribuições interdisciplinares do tato e da visão na performance musical,2011,Português,VAZIO,['Fausto Borém'],['1'],['1']
Diálogos Musicais da Pós-Graduação: Práticas de Performance Nº1,2016,Português,VAZIO,"['Fausto Borém', 'Luciana Monteiro de Castro']","['1', '2']",['1']
Diálogos Musicais da Pós-Graduação: Práticas de Performance Nº2,2017,Português,VAZIO,"['Fausto Borém', 'Luciana Monteiro de Castro']","['1', '2']",['1']
Diálogos Musicais na Pós-Graduação: Práticas de Performance Nº5,2020,Malgaxe,VAZIO,"['Eduardo Campolina', 'Fausto Borém']","['1', '2']",['2']
Diálogos Musicais na Pós-Graduação: Práticas de Performance Nº4,2019,Bretão,VAZIO,"['Fausto Borém', 'Luciana Monteiro de Castro']","['1', '2']",['1']
Diálogos Musicais na Pós-Graduação: Práticas de Performance Nº3,2018,Bretão,VAZIO,"['Fausto Borém', 'Luciana Monteiro de Castro']","['1', '2']",['1']
Diálogos Musicais na Pós-Graduação: Práticas de Performance N.6,2021,Malgaxe,VAZIO,"['Fausto Borém', 'Luciana Monteiro de Castro', 'Eduardo Campolina']","['1', '2', '3']",['1']
