COURSE,YEAR,INTEGRANTES
A criação no processo de muicalização infantil,2007,['Maria Betânia Parizzi Fonseca']
"Criação no,mprocesso de musicalização para professores de escolas de música e escolas regulares",2007,['Maria Betânia Parizzi Fonseca']
Musicalizando o bebê,2007,['Maria Betânia Parizzi Fonseca']
Musicalizando o bebê de zero a três anos,2008,['Maria Betânia Parizzi Fonseca']
Musicalizando o aluno das escolas regulares e das escolas de música,2008,['Maria Betânia Parizzi Fonseca']
Educação Musical de crianaçs de zero a seis anos,2008,['Maria Betânia Parizzi Fonseca']
Educação Musical de zero a seis anos,2008,['Maria Betânia Parizzi Fonseca']
?Música e neurociência?,2010,['Maria Betânia Parizzi Fonseca']
Processos criativos na educação infantil,2010,['Maria Betânia Parizzi Fonseca']
?Introdução ao Universo da Música?,2010,['Maria Betânia Parizzi Fonseca']
?Música na Escola Regular ? projeto integrado CMI-UFMG?,2010,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago', 'Jussara Fernandino', 'Heloísa Feichas', 'Walenia Silva']"
?Canto espontâneo na primeira infância?,2010,['Maria Betânia Parizzi Fonseca']
Prematuridade e desenvolvimento cognitivo-musical,2010,['Maria Betânia Parizzi Fonseca']
Professora do Curso de Reciclagem de Professores - Secretaria de Estado da Educação/MG,1993,['Maria Betânia Parizzi Fonseca']
Educação Musical Infantil: fundamentos e prática,2014,['Maria Betânia Parizzi Fonseca']
Pesquisa em Educação Musical,2014,['Maria Betânia Parizzi Fonseca']
Do canto espontãneo à composição estruturada,2006,['Maria Betânia Parizzi Fonseca']
Reflexões e prátoicas sobre o canto espontâneo,2006,['Maria Betânia Parizzi Fonseca']
Da música espontânea à composição estrurada,2005,['Maria Betânia Parizzi Fonseca']
Oficina ministrada na V Semana de Educação Musical da UFSJ,2015,['Maria Betânia Parizzi Fonseca']
Musica na APAE,2016,['Maria Betânia Parizzi Fonseca']
Oficina ministrada no IV Congresso Internacional Transdisciplinar sobre a criança e adolescente Singularidade e diferença FMG) Título: Educação Musical para crianças autistas,2016,"['Maria Betânia Parizzi Fonseca', 'Gleisson do Carmo Oliveira']"
Os bebês entendem de Música?,2017,['Maria Betânia Parizzi Fonseca']
Competências musicais dos bebês,2017,"['Maria Betânia Parizzi Fonseca', 'Erika Parlato-Oliveira']"
A música e o desenvolvimento humano,2017,"['João Gabriel Marques Fonseca', 'Maria Betânia Parizzi Fonseca']"
Educação Musical Especial e autismo,2018,['Maria Betânia Parizzi Fonseca']
Curos de Apérfeiçãomento para professores de Educação Musical,1993,"['Maria Betânia Parizzi Fonseca', 'Rosa Lúcia dos Mares Guia', 'Carlos Kater', 'João Gabriel Marques Fonseca', 'Márcia Rocha Parizzi']"
Curso de Aperfeiçoamento para professores de Educação Musical,1995,"['Maria Betânia Parizzi Fonseca', 'Rosa Lúsica dos mares Guia', 'Carlos Kater', 'Márcia Rocha Parizzi', 'João Gabriel Marques Fonseca']"
Pianobrincando - criança fazendo música a aprtir do gesto,2003,['Maria Betânia Parizzi Fonseca']
Competências musicais do bebês,2019,"['Erika Parlato-Oliveira', 'Maria Betânia Parizzi Fonseca']"
Musica e Autismo,2019,['Maria Betânia Parizzi Fonseca']
Educação Musical Infantil,2019,['Maria Betânia Parizzi Fonseca']
A música na educação pré escolar,1986,['Maria Betânia Parizzi Fonseca']
Iniciação ao Piano,1993,['Maria Betânia Parizzi Fonseca']
A música na esducação pré-escolar II,1986,['Maria Betânia Parizzi Fonseca']
Educação Musical para bebês: fundamentos e prática,2021,"['Maria Betânia Parizzi Fonseca', 'Anagelita Broock']"
Musica e cerebro,2013,"['João Gabriel Marques Fonseca', 'Maria Betânia Parizzi Fonseca']"
