PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
"Restauração do Livro Missae Propriae Sanctorum Trium Ordinum Fartum Minorum, Tipografia Plantiniana, 1721",2011,2011,EXTENSAO,"['Márcia Almada', 'Ana Carina Utsch Terra', 'Bethania Reis Veloso']","['SIM', 'NAO', 'NAO']"
Produção e uso de documentos manuscritos adornados no século XVIII em Minas Gerais,2010,2017,PESQUISA,"['Márcia Almada', 'Júnia Ferreira Furtado', 'Bethania Reis Veloso', 'Maria Regina Emeri Quites', 'Luiz Antônio Cruz Sousa', 'Marina Furtado Gonçalves', 'Isolda Maria Castro Mendes', 'Alexandre Cruz Leão']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Preservação das Fontes Documentais do IBRAM ? Museu do Ouro de Sabará.,2012,2012,EXTENSAO,"['Márcia Almada', 'Luiz Antônio Cruz Sousa', 'Pedro Brito', 'Marta Melgaço']","['SIM', 'NAO', 'NAO', 'NAO']"
A materialidade dos documentos pintados: entre a História e a Preservação,2014,2021,PESQUISA,"['Márcia Almada', 'Luiz Antônio Cruz Sousa', 'Marina Furtado Gonçalves', 'Alexandre Cruz Leão', 'Patrícia de Vaz Lavall', 'Ana Cristina Torres Campos', 'Maycon Felipe da Silva Amaral', 'Bárbara Alves de Oliveira', 'Bruna Michels', 'MELISSA POLICHETTI ANCONA', 'Spiros Zervos']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Plantin &amp; Craesbeeck: um mundo sobre papel,2012,2014,EXTENSAO,"['Márcia Almada', 'Júnia Ferreira Furtado', 'Rene Lomez Gomez']","['NAO', 'SIM', 'NAO']"
O testamento de Martim Afonso de Sousa: tesouros do Setor de Obras Raras da UFMG,2014,2015,EXTENSAO,"['Márcia Almada', 'Júnia Ferreira Furtado', 'Rene Lommez Gomez', 'Dina Marques Pereira Araujo']","['NAO', 'SIM', 'NAO', 'NAO']"
Kundalini Yoga: Estilo de Vida e Saúde Mental,2019,2020,EXTENSAO,"['Márcia Almada', 'MARIA CRISTINA ROSA', 'MARCUS VINICIUS PRADO CRUZ', 'TAVARES, RUBENS LENE CARVALHO', 'SOUZA, Ricardo Augusto de', 'LUCAS ANTONIO MIRANDA FERREIRA']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Programa de Monitoria de Graduação do Departamento de Artes Plásticas 2022-2023,2022,ATUAL,ENSINO,"['Márcia Almada', 'Amanda Cristina Cordeiro', 'Carolina Ruoso', 'Janaína Roddrigues']","['SIM', 'NAO', 'NAO', 'NAO']"
Tomada de decisões baseada em valores na conservação de documentos gráficos,2021,ATUAL,PESQUISA,"['Márcia Almada', 'Magali Melleu Sehn', 'Ana Cristina Torres Campos', 'Spiros Zervos', 'Ivana Denise Parrela', 'Ana Flávia Machado', 'Isamara Lara de Carvalho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Restauração do Compromisso da Irmandade do Santíssimo Sacramento da Paróquia do Pilar de Congonhas do Sabará, 1725.",2018,2020,EXTENSAO,"['Márcia Almada', 'Bethania Reis Veloso', 'Patrícia de Vaz Lavall', 'Ana Cristina Torres Campos', 'Maycon Felipe da Silva Amaral', 'Amanda Cristina Cordeiro']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Restauração do Compromisso da Irmandade de São Miguel e Almas da Freguesia do Prado, 1722.",2018,2020,EXTENSAO,"['Márcia Almada', 'Bethania Reis Veloso', 'Patrícia de Vaz Lavall', 'Ana Cristina Torres Campos', 'Maycon Felipe da Silva Amaral', 'Amanda Cristina Cordeiro']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Em torno do Discurso: Formação cultural, exame material e circulação do manuscrito de 1720 atribuído a D. Pedro Miguel de Almeida Portugal",2017,2020,PESQUISA,"['Márcia Almada', 'Rodrigo Bentes Monteiro', 'David Martín Marcos']","['NAO', 'SIM', 'NAO']"
"O Livro das Fortalezas (c.1509), roteiro de paisagens culturais. Análise material e estudo da representação espacial na Raia Luso-Espanhola?",2017,2018,PESQUISA,"['Márcia Almada', 'David Martín Marcos', 'Antonio Candeias', 'Ana Luísa do Vale Fonseca Claro', 'Marta Nunes Silva', 'Tamar Herzog']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
"Riscar o Mundo - Desenhos científicos do antigo Império português nos fundos documentais do Museu Nacional de História Natural e da Ciência, Universidade de Lisboa (Séc. XVIII-XIX)",2015,2016,PESQUISA,"['Márcia Almada', 'Marta Lourenço']","['SIM', 'NAO']"
