COURSE,YEAR,INTEGRANTES
Desenvolvimento da Muscialidade Clínica,2007,['Renato Tocantins Sampaio']
Música e Comunicação,1997,"['Renato Tocantins Sampaio', 'Ana Cristina Parente Sampaio']"
Metodologias de Ensino de Leitura,2006,['Renato Tocantins Sampaio']
Montando Projetos Transdisciplinas com Arte,2009,['Renato Tocantins Sampaio']
Workshop Musicoterapia,2004,['Renato Tocantins Sampaio']
A Canção em Musicoterapia: análise semiótica,2010,['Renato Tocantins Sampaio']
Música e Neurociências,2010,"['LANA, Ana Maria', 'Loureiro, Cybelle M. V.', 'FONSECA, João Gabriel', 'Renato Tocantins Sampaio', 'PARIZZI, Betania']"
Interfaces entre Neurociências e Música: Implicações para a Musicoterapia e para a Educação Musical,2010,['Renato Tocantins Sampaio']
Musicoterapia e Cuidados Paliativos,2011,['Renato Tocantins Sampaio']
Musicoterapia e Cuidados Paliativos,2012,['Renato Tocantins Sampaio']
Musicoterapia na Educação,1998,['Renato Tocantins Sampaio']
Experiências Receptivas em Musicoterapia,2005,['Renato Tocantins Sampaio']
Brincadeiras Musicais no Ensino de Matemática,2013,['Renato Tocantins Sampaio']
Metodologia das Pedagogias Musicais: interfaces com a Musicoterapia,2013,['Renato Tocantins Sampaio']
Metodologia das Pedagogias Musicais: interfaces com a Musicoterapia,2014,['Renato Tocantins Sampaio']
Seminário Adaptações Curriculares na Educação Musical para crianças e jovens com Deficiência Intelectual,2014,['Renato Tocantins Sampaio']
Música para Interagir,2015,['Renato Tocantins Sampaio']
Musicoterapia com Pessoas com Transtornos do Espectro do Autismo: abordagem clínica e modelo de avaliação,2015,['Renato Tocantins Sampaio']
Mini Curso Pesquisa em Musicoterapia: Metodologias e Desenhos,2015,['Renato Tocantins Sampaio']
Fundamentos da Musicoterapia,2018,['Renato Tocantins Sampaio']
Aplicação do PSinc - Protocolo de Avaliação da Sincronia Rítmica em Musicoterapia,2018,['Renato Tocantins Sampaio']
A Praxis Interdisciplinar em Educação Musical,2018,['Renato Tocantins Sampaio']
"Teorias, Métodos e Técnicas em Musicoterapia",2019,['Renato Tocantins Sampaio']
Fundamentos da Musicoterapia II: Etapas do Processo Musicoterapêutico e Instrumentos de Avaliação,2019,['Renato Tocantins Sampaio']
Introdução ao Individualized Music Therapy Assessment Profile (IMTAP),2020,['Renato Tocantins Sampaio']
Fundamentos da Musicoterapia II: Etapas do Processo Musicoterapêutico e Instrumentos de Avaliação,2020,['Renato Tocantins Sampaio']
Metodologia das Pedagogias Musicais: interfaces com a Musicoterapia,2015,['Renato Tocantins Sampaio']
