TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
O nascimento do Teatro Brasileiro Moderno: a comédia nacional no pensamento de Décio de Almeida Prado.,2010,Português,7Letras,['Berilo Luigi Deiró Nosella'],['1'],['1']
Dramaturgia e História: questões e abordagens possíveis,2012,Português,ABRACE,['Berilo Luigi Deiró Nosella'],['1'],['1']
Pela &amp;quot;escada&amp;quot; de Jorge Andrade: o nascimento de uma trajetória entre a memória e a história,2012,Português,Mercado de Letras,['Berilo Luigi Deiró Nosella'],['1'],['1']
Juventude e representação: a formação do teatro moderno norte-americano e James Dean,2015,Português,Paco Editorial,['Berilo Luigi Deiró Nosella'],['1'],['1']
"Texto e cena, continuidades e rupturas entre teatro épico e pós-dramático",2017,Português,EDUFU,"['Berilo Luigi Deiró Nosella', 'Carina Maria Guimarães Moreira']","['1', '2']",['1']
Teatro e política: ensaio à introdução de um debate,2018,Português,Editora da Universidade Federal de Ouro Preto,['Berilo Luigi Deiró Nosella'],['1'],['1']
"A DRAMATURGIA COMO FONTE PARA HISTÓRIA DA ILUMINAÇÃO CÊNICA, QUESTÕES DE ABORDAGEM PARA UMA PESQUISA EM ANDAMENTO",2019,Português,Atena Editora,['Berilo Luigi Deiró Nosella'],['1'],['1']
"Senhora na boca do lixo, comicidade e subversão numa esquina da obra de Jorge Andrade",2020,Português,Editora Cintra,['Berilo Luigi Deiró Nosella'],['1'],['1']
Relatos de uma experiência na preservação e organização de acervos: os acervos teatrais alocados na sala Antônio Manoel de Souza Guerra CEDOC/UFSJ,2022,Português,Atena Editora,"['Berilo Luigi Deiró Nosella', 'Fabiana Siqueira Fontana', 'Isabela Francisconi']","['1', '2', '3']",['1']
Persistência do drama no ideário político da dramaturgia moderna brasileira,2020,Português,LABED/UFMG,['Berilo Luigi Deiró Nosella'],['1'],['1']
