PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Teatro de rua: processos criativos e formação do ator/atuador,2002,2009,PESQUISA,"['Narciso Larangeira Telles da Silva', 'Luciana do Carmo Fontes', 'Lilian Morais de Paiva']","['SIM', 'NAO', 'NAO']"
Teatro e Cultura Popular: aspectos estéticos e performáticos do Palhaço da Folia de Reis,1999,2001,PESQUISA,"['Narciso Larangeira Telles da Silva', 'Vanilton Alves Freitas']","['SIM', 'NAO']"
Aprender a aprender: os viewpoints como procedimentos de atuação e jogo,2007,2013,PESQUISA,"['Narciso Larangeira Telles da Silva', 'Nádia Yoski Higa', 'Camila Barbosa Tiago', 'Monique Alves Ferreira', 'Vinicius de Castro Fonseca', 'Getulio Gois de Araújo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"As relações entre teatro e cidade na cena contemporânea. Parte I - Estudo dos processos criativos dos Grupos: Coletivo Teatro da Margem/Núcleo 2 (Uberlândia - MG),Andante (MG), Falos &amp; Stercos (RS) &amp; Cia de Mystérios e Novidades (RJ)",2009,2012,PESQUISA,['Narciso Larangeira Telles da Silva'],['SIM']
Coordenação do Projeto Comicidade e Criação (PRODOC - CAPES) no Programa de Pós-Graduação em Artes,2010,2014,PESQUISA,['Narciso Larangeira Telles da Silva'],['SIM']
ESCAMBO: ações de compartilhamento teatral,2012,2015,EXTENSAO,"['Narciso Larangeira Telles da Silva', 'Nádia Yoski Higa', 'Marcella Prado Ferrreira', 'Luiz Carlos Leite', 'Adriana Moreira Silva']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
"Artista-Docente: modos de formar, maneiras de agir - Parte I: Práticas Latino Americanas",2012,ATUAL,PESQUISA,"['Narciso Larangeira Telles da Silva', 'Valéria Gianechini de Araújo', 'José Raphael Brito', 'Hellen Cristina Batista Souza', 'Paloma Bezerra']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
O artista cênico em desalinho:  Práticas e saberes em processos de formação e criação em Artes Cênicas,2013,ATUAL,PESQUISA,"['Narciso Larangeira Telles da Silva', 'Guilherme Conrado Pereira Ríspolli']","['SIM', 'NAO']"
Atuação teatral: o aqui e agora na cena expandida. Projeto Integrado e Interinstitucional de Pesquisa (UFU/UDESC/UFMG/UFAC/UFC/ UFS),2022,ATUAL,PESQUISA,"['Narciso Larangeira Telles da Silva', 'CARREIRA, André', 'Leonel Martins Carneiro', 'OLIVIA CAMBOIM ROMANO', 'ADRIANA SANTOS', 'TIAGO FORTES', 'HELOÍSA MARINA']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Teatro Circulo: ações formativas e artística,2015,2017,EXTENSAO,"['Narciso Larangeira Telles da Silva', 'Nádia Yoski Higa', 'Marcella Prado Ferrreira', 'Luiz Carlos Leite', 'Adriana Moreira Silva', 'Guilherme Conrado Pereira Ríspolli', 'Carlos Araque Osorio', 'Clara Contreras']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
