PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Pesquisa Qualitativa sobre o perfil do egresso do Curso de Graduação em Teatro da EBA/UFMG,2010,2012,PESQUISA,"['Mariana de Lima e Muniz', 'Rita Gusmão']","['SIM', 'NAO']"
Processos de Criação e recepção do espetáculo Tio Vânia - Grupo Galpão,2010,2012,PESQUISA,"['Mariana de Lima e Muniz', 'Bruna Betito', 'Carolina França']","['SIM', 'NAO', 'NAO']"
Biografias Cênicas - oficina de Teatro para a terceira idade,2009,2010,EXTENSAO,"['Mariana de Lima e Muniz', 'Ricardo Carvalho Figueiredo', 'Iasmim Marques', 'Elaine Paiva', 'Sabrina Marinho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Laboratório de Dramaturgia da Improvisação - relações entre teatro e cinema,2009,2014,PESQUISA,"['Mariana de Lima e Muniz', 'Flaviano Souza Silva', 'Luciana Romagnoli', 'Renata Mara', 'Luiz Carlos de Almeida Garrocho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Match de Improvisação- produção de material didático para o ensino da improvisação teatral na graduação em teatro.,2008,2010,PESQUISA,"['Mariana de Lima e Muniz', 'Mariana Vasconcelos']","['SIM', 'NAO']"
Residência teatral no bairro Lagoinha: Um estudo sobre dramaturgia da improvisação a partir dos  princípios cênicos das máscaras brasileiras?.,2011,2012,PESQUISA,"['Mariana de Lima e Muniz', 'Rogério Lopes', 'Eberth Guimarães']","['SIM', 'NAO', 'NAO']"
A relação entre teatro e internet na cena contemporânea e no ensino de teatro na educação básica,2012,2016,PESQUISA,"['Mariana de Lima e Muniz', 'Maurílio Andrade', 'Lúcia Pimentel', 'Jorge Dubatti']","['SIM', 'NAO', 'NAO', 'NAO']"
Criadores teatrais de Belo Horizonte e Buenos Aires: relação entre teatro e internet,2012,2018,PESQUISA,"['Mariana de Lima e Muniz', 'Jorge Dubatti', 'Julio Vianna']","['SIM', 'NAO', 'NAO']"
Improvisação e outras interatividades,2016,2019,PESQUISA,"['Mariana de Lima e Muniz', 'Mônica Ribeiro', 'Maurílio Andrade', 'Tiago Cruvinel', 'Gabriela Christófaro', 'Maria Elisa Ameida', 'Cinara Diniz']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Material didático de Arte para Escolas Públicas: Ensino Fundamental e Médio,2015,ATUAL,PESQUISA,"['Mariana de Lima e Muniz', 'Maurílio Andrade', 'Ronaldo Auad', 'Samara Vilaça', 'Júnior Fonseca', 'Amarildo Alexandre do Carmo']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Teatro digital: improvisação e interatividade,2016,ATUAL,PESQUISA,"['Mariana de Lima e Muniz', 'Yara de Novaes', 'Ana Regis', 'Brenno Jadvas']","['SIM', 'NAO', 'NAO', 'NAO']"
Universos Paralelos - a aplicação da improvisação com oferramenta da formação do ator-pesquisador e do proessor-pesquisador,2006,2009,PESQUISA,"['Mariana de Lima e Muniz', 'Fernando Mencarelli']","['SIM', 'NAO']"
A aplicação das técnicas de improvisação teatral no trabalho transdiciplinar de formação do ator,2006,2009,PESQUISA,"['Mariana de Lima e Muniz', 'Fernando Mencarelli', 'Diogo Horta']","['SIM', 'NAO', 'NAO']"
