INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Universidade do Estado de Santa Catarina,2007,,ATUAL,ATUAL,Artes Cênicas,GRADUACAO,"['Estágio III - Teatro Escola', 'Estágio IV - Teatro Comunidade', 'PREAC V - Pratica de Ensino', 'Teatro Comunidade I', 'Teatro Comunidade II']"
Universidade Federal da Grande Dourados,2013,,ATUAL,ATUAL,Artes Cênicas,GRADUACAO,"['Contação de História', 'Encenação III', 'Estágio Supervisionado I', 'Estágio Supervisionado II', 'Metodologia do Ensino de Teatro', 'Políticas Públicas de Teatro Educação', 'Teatro do oprimido']"
Universidade Federal da Grande Dourados,2014,,ATUAL,ATUAL,Especialização em Teatro,POS-GRADUACAO,['Metodologia do Ensino Superior']
