INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
ONG Fé e Alegria do Brasil,2004,12,12,12,,OUTRO,['Oficinas no programa Formação de Adolescentes']
Escola Autonomia,2006,12,12,12,,ENSINO-MEDIO,['Oficina de Vídeo e Mídia-Educação']
Escola Autonomia,2006,12,12,12,,ENSINO-FUNDAMENTAL,['Oficinas de Vídeo e Rádio']
Universidade Federal do Rio de Janeiro,2010,7,7,7,Comunicação Visual Design,GRADUACAO,"['Metodologia de Projeto', 'Tópicos Especiais: Projeto']"
Redes de Desenvolvimento da Maré,2011,12,12,12,,OUTRO,['Oficina de Fotografia e Jornal na Escola Municipal Bahia']
Redes de Desenvolvimento da Maré,2011,12,12,12,,OUTRO,['Oficina Radiofônica na Escola Municipal Tenente General Napion']
Universidade Federal Fluminense,2013,2,2,2,Produção Cultural,GRADUACAO,['Fundamentos das Artes Plásticas']
Universidade Federal Fluminense,2013,2,2,2,Arquitetura e Urbanismo,GRADUACAO,['Conceitos Fundamentais da História da Arte']
Universidade Federal Fluminense,2013,8,8,8,Produção Cultural,GRADUACAO,['Fundamentos das Artes Plásticas']
Universidade Federal Fluminense,2013,2,2,2,Artes,GRADUACAO,['Explorações e Reconfigurações Espaciais']
Universidade do Estado do Rio de Janeiro,2013,8,8,8,Pedagogia,GRADUACAO,"['Educação e Comunicação: Rádio I', 'Multimídia e Educação I']"
Universidade do Estado do Rio de Janeiro,2013,2,2,2,Pedagogia,GRADUACAO,"['Educação e Comunicação: Rádio I', 'Multimídia e Educação I']"
Universidade Federal Fluminense,2013,8,8,8,Artes,GRADUACAO,"['Explorações e Reconfigurações Espaciais', 'Expressão e Invenção Gráfica']"
