PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Conexo&amp;#771;es internacionais e a formac&amp;#807;a&amp;#771;o de redes locais: as exposic&amp;#807;o&amp;#771;es circulantes no MAM Rio (1948-1978),2022,ATUAL,PESQUISA,"['Renata Cristina de Oliveira Maia Zago', 'Maria de Fátima Morethy Couto', 'Dária Gorete Jaremtchuk', 'Renata Gomes Cardoso', 'Fabri&amp;#769;cia Cabral de Lira Jorda&amp;#771;o', 'Moema de Bacelar Alves', 'Patricia Leal Azevedo Corre&amp;#770;a', 'Maria Luisa Luz Távora']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Arte moderna e contemporânea em exposições: estudos feministas e decoloniais,2019,ATUAL,PESQUISA,"['Renata Cristina de Oliveira Maia Zago', 'Carolina Cerqueira Correa', 'Marize Moreno de Carvalho']","['SIM', 'NAO', 'NAO']"
"Treinamento Profissional na Galeria Guaçuí - IAD/UFJF: ação educativa, produção cultural e curadoria",2019,ATUAL,OUTRA,"['Renata Cristina de Oliveira Maia Zago', 'Weslley Shanses Moreira', 'ADA MEDEIROS DUTRA', 'BRUNO NOGUEIRA LEONARDO', 'DIOGO DE MELO GOMES SILVA', 'FELIPE MAGNO ELLER RODRIGUES', 'FERNANDA FERREIRA DE MELLO', 'IVO LAZAREVITCH FILHO', 'JOÃO MARCELLO COSTA PEREIRA', 'MARCELO DE OLIVEIRA CARVALHO', 'MARIA LUIZA MOTTA FIGUEIREDO PAMPLONA', 'RAMON VILAÇA DE ALMEIDA']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Tapeçaria contemporânea na Bienal de São Paulo,2020,ATUAL,PESQUISA,['Renata Cristina de Oliveira Maia Zago'],['SIM']
"História da arte  como história das exposições: instituições, crítica, curadoria, acervos e arquivos.",2017,ATUAL,PESQUISA,"['Renata Cristina de Oliveira Maia Zago', 'Thamara Venâncio de Almeida', 'Claudio de Melo Filho', 'Cecília Samel Côrtes Fernandes', 'Clara Mourão Downey', 'Ramsés Albertoni Barbosa', 'Tamares Hagar Silva', 'Edmárcia Alves de Andrade', 'Tálisson Melo de Souza', 'Amanda Mazzoni Marcato', 'Giulia Drumond Imazio Silveira', 'Carolina Cerqueira Correa']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
