PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
CMI- Centro de Musicalização Infamtil,2010,2014,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago', 'Carlos Aleixo']","['SIM', 'NAO', 'NAO']"
Curso de instrumento no CMI,2010,2017,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago', 'Carlos Aleixo']","['SIM', 'NAO', 'NAO']"
A influência da educação musical no desenvolvimento de bebês nascidos prematuros,2009,2015,PESQUISA,"['Maria Betânia Parizzi Fonseca', 'João Gabriel Marques Fonseca', 'Andréia Polignano Mendonça', 'Gleisson do Carmo Oliveira', 'Vanilce rRzende de Morais Peixoto', 'Sarah Reis Moreira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Projeto PIBIC Ensino Médio,2010,2011,PESQUISA,"['Maria Betânia Parizzi Fonseca', 'Rosa Maria Ribeiro']","['SIM', 'NAO']"
Musica para a saúde do bebê,2010,2016,PESQUISA,"['Maria Betânia Parizzi Fonseca', 'Andréia Polignano Mendonça', 'Altemar Dutra Peixoto Fonseca', 'Gleisson do Carmo Oliveira', 'Marina Horta Freire', 'Dalila Mayara caetano Silva']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Musicalização para crianças e adolescentes,2010,ATUAL,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Dalila Mayara caetano Silva', 'Amanda Nunes de lima']","['SIM', 'NAO', 'NAO']"
Projeto Musicalização no Cariúnas,2010,ATUAL,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Jussara Fernandino']","['NAO', 'SIM']"
Musica para Todos,2010,ATUAL,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago', 'Carlos Aleixo', 'Arnon Savio Oliveira']","['SIM', 'NAO', 'NAO', 'NAO']"
Curso de Musicalização para crianças de três a sete anos incompletos.,2010,ATUAL,EXTENSAO,['Maria Betânia Parizzi Fonseca'],['SIM']
Curso de Musicalização para bebês do CMI,2010,2019,EXTENSAO,['Maria Betânia Parizzi Fonseca'],['SIM']
Musica na Escola Regular - Projeto Integrado CMI - UFMG,2011,2017,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Patrícia Furst Santiago', 'Walenia Silva', 'Heloísa feichas']","['SIM', 'NAO', 'NAO', 'NAO']"
Orquestra do CEM/INC,2014,2015,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Carlos Aleixo']","['NAO', 'SIM']"
Corais do Campus,2010,2015,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Iara Fricke Matte', 'Ernani Malleta']","['NAO', 'NAO', 'SIM']"
Musicalização no Conservatório da UFMG,2014,2017,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Margarida Maria Borghoff']","['NAO', 'SIM']"
Arte e Diferença,2017,2017,EXTENSAO,"['Maria Betânia Parizzi Fonseca', 'Anamaria Fernandes', 'Monica Rahme']","['NAO', 'SIM', 'NAO']"
Música para o desenvolvimento humano,2012,ATUAL,PESQUISA,"['Maria Betânia Parizzi Fonseca', 'Gleisson do Carmo Oliveira', 'Liliana Pereira Botelho', 'Marina Horta Freire', 'Dalila Mayara caetano Silva', 'abel Raimundo Moraes Silva', 'Ana Clara Borges Condé', 'André José Rodrigues Júnior']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
