PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Arte e Vida nos limites da representação,2006,2012,PESQUISA,"['Marcelo Simon Wasem', 'José Luiz Kinceler', 'Francis Pedemonte', 'Luiz Sérgio de Oliveira']","['NAO', 'SIM', 'NAO', 'NAO']"
Kaxinawá Pesquisas Sonoras,2013,2018,PESQUISA,"['Marcelo Simon Wasem', 'Mauro Sá Costa Rego', 'Pedro de Albuquerque Araújo', 'Adriana Gomes Ribeiro', 'Alexandre Sperandéo Fenerich']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
"Programa de Extensão - LCV - Laboratório de Artes, Performances e Audiovisual: Cinema, Vídeo",2014,2018,OUTRA,"['Marcelo Simon Wasem', 'Jorge Luiz Cruz', 'Rodrigo Guéron', 'Leandro Mendonça']","['NAO', 'SIM', 'NAO', 'NAO']"
"Arte Colaborativa, Sonoridades e Biopolítica",2014,2018,EXTENSAO,"['Marcelo Simon Wasem', 'Mariana Novaes', 'Mauro Sá Costa Rego', 'Pedro Leite Lopes', 'Jorge Luiz Cruz', 'Thatiana Moreira Montenegro da Costa', 'Mariana Brum Geraldes']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
D.E.L.I.R.A.: Ações em Arte Pública,2019,ATUAL,PESQUISA,"['Marcelo Simon Wasem', 'Mariana Novaes', 'Daniel Puig', 'Breno dos Santos Franca']","['SIM', 'NAO', 'NAO', 'NAO']"
Cartografias Emergentes da Cultura,2020,ATUAL,PESQUISA,"['Marcelo Simon Wasem', 'Alemar Silva Araújo Rena']","['NAO', 'SIM']"
"OCA: Outreidade, Colaboração, Artes",2020,ATUAL,PESQUISA,"['Marcelo Simon Wasem', 'Mariana Novaes', 'Carlos Eduardo Felix da Costa', 'Jorge Mascarenhas Menna Barreto', 'Mauro José Sá Rego Costa', 'Alemar Silva Araújo Rena', 'Clarissa Santos Silva', 'Pedro Sollero', 'Tássio Ferreira', 'Annaline Curado', 'Maria Ivone dos Santos', 'Hélio Fervenza', 'Douglas Ladik', 'Eduarda Gonçalves']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Estudos em Design Arte e Natureza,2018,ATUAL,PESQUISA,"['Marcelo Simon Wasem', 'Leonardo Ventapane Pinto de Carvalho', 'Carlos Eduardo Felix da Costa', 'Carlos André Lameirão Côrtes', 'Maria Beatriz Piquet Carneiro Petrus']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
"LINDA: Laboratório Interdisciplinar em Natureza, Design e Arte",2018,ATUAL,OUTRA,"['Marcelo Simon Wasem', 'Carlos Eduardo Felix da Costa']","['NAO', 'SIM']"
