COURSE,YEAR,INTEGRANTES
Dramaturgia em Cena: leituras dramáticas da formação do teatro brasileiro,2011,"['Berilo Luigi Deiró Nosella', 'Carina Maria Guimarães Moreira']"
"Iluminação Cênica, Arte e Técnica: princípios de criação",2011,['Berilo Luigi Deiró Nosella']
Apontamentos sobre a História da Iluminação Cênica Moderna - UNIRIO,2018,['Berilo Luigi Deiró Nosella']
Apontamentos sobre a História da Iluminação Cênica Moderna- UNESP,2018,['Berilo Luigi Deiró Nosella']
Apontamentos sobre a História da Iluminação Cênica Moderna - Unb,2019,['Berilo Luigi Deiró Nosella']
"Apontamentos sobre a História da Iluminação Cênica Moderna - Escuela de Teatro Político de Buenos Aires, Argentina",2019,['Berilo Luigi Deiró Nosella']
Apontamentos sobre a História da Iluminação Cênica Moderna - UNESPAR,2019,['Berilo Luigi Deiró Nosella']
Apontamentos sobre a História da Iluminação Cênica Moderna - UFU,2019,['Berilo Luigi Deiró Nosella']
Improviso: princípios da cena épica e do teatro de Bertolt Brecht,2002,['Berilo Luigi Deiró Nosella']
A Luz da Cena,2001,['Berilo Luigi Deiró Nosella']
Apontamentos sobre a História da Iluminação Cênica Moderna - Luz realista e Luz performática - SP Escola de Teatro,2021,['Berilo Luigi Deiró Nosella']
