COURSE,YEAR,INTEGRANTES
Oficina de Roteiro para Cinema e Televisão,2006,['Rachel Cecília de Oliveira Costa']
Oficina de Roteiro para Cinema e Televisão,2007,['Rachel Cecília de Oliveira Costa']
Oficina de Produção Cinematográfica,2006,['Rachel Cecília de Oliveira Costa']
Oficina de Produção Cinematográfica,2007,['Rachel Cecília de Oliveira Costa']
Curso de Cinema,2007,['Rachel Cecília de Oliveira Costa']
Curso de Cinema,2008,['Rachel Cecília de Oliveira Costa']
Elementos fenomenológicos da filosofia de Vilém Flusser,2017,['Rachel Cecília de Oliveira Costa']
Qual o potencial político da arte?,2018,['Rachel Cecília de Oliveira Costa']
Qual o potencial político da arte?,2018,['Rachel Cecília de Oliveira Costa']
Arte e complexidade: um projeto de pesquisa,2018,['Rachel Cecília de Oliveira Costa']
Qual o potencial político da arte?,2019,['Rachel Cecília de Oliveira Costa']
Oficina de Roteiro para Cinema e Televisão,2005,['Rachel Cecília de Oliveira Costa']
