TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Racismo e Educação: desafios para a formação docente,2005,Português,VAZIO,"['Benjamin Xavier de Paula', 'Cristina Mary Ribeiro Peron']","['1', '2']",['1']
"Relações de Trabalho e Processos de Exclusão na Sociedade Contemporânea: raça, gênero e geração.",2007,Português,VAZIO,['Benjamin Xavier de Paula'],['1'],['1']
"Educação, História e Cultura da África e Afro-brasileira: teorias e experiências",2008,Português,VAZIO,"['Benjamin Xavier de Paula', 'Cristina Mary Ribeiro Peron']","['1', '2']",['1']
Livro de Resumos (ANAIS) do X Congresso Brasileiro de Pesquisadores/as Negros/as &amp;quot;(Re)existência Intelectual Negra e Ancestral: 18 anos de enfrentamento&amp;quot;,2018,Português,VAZIO,"['Benjamin Xavier de Paula', 'Luciane Ribeiro Dias Gonçalves', 'Carlos Eduardo Moreira de Araújo']","['1', '2', '3']",['1']
Caderno de Programação do X Congresso Brasileiro de Pesquisadores/as Negros/as &amp;quot;(Re)existência Negra e Ancestral: 18 anos de enfrentamento,2018,Português,VAZIO,"['Benjamin Xavier de Paula', 'Luciane Ribeiro Dias Gonçalves']","['1', '2']",['1']
Coleção Especial do X Copene: (Re)existência Intelectual Negra e Ancestral: 18 anos de enfrentamento,2018,Português,VAZIO,"['Benjamin Xavier de Paula', 'Luciane Ribeiro Dias Gonçalves']","['1', '2']",['1']
Negritudes e Africanidades na América Latina e no Caribe,2018,Português,VAZIO,"['Benjamin Xavier de Paula', 'Luciane Ribeiro Dias Gonçalves']","['1', '2']",['1']
"Africanidades e Brasilidades no Currículo da Educação Básica: compartilhando reflexões, vivências, experiências e práticas",2021,Português,VAZIO,"['Rosa Margarida de Carvalho Rocha', 'Patrìcia Maria de Souza Santana', 'Benjamin Xavier de Paula', 'Luciane Ribeiro Dias Gonçalves']","['1', '2', '3', '4']",['3']
(Re)Existência Intelectual Negra e Ancestral,2021,Português,VAZIO,"['Benjamin Xavier de Paula', 'Luciane Ribeiro Dias Gonçalves', 'Anna Canavarro Benite']","['1', '2', '3']",['1']
Negritudes e Africanidades na America Latina e no Caribe,2021,Português,VAZIO,"['Anny Ocoro Loango', 'Maria Jose de Jesus Alves Cardoso', 'Luciane Ribeiro Dias Gonçalves', 'Benjamin Xavier de Paula']","['1', '2', '3', '4']",['4']
"Patrimônio e Cultura: memória, identidade e reconhecimento",2021,Português,VAZIO,"['Delton Aparecido Felipe', 'Otair Fernandes Oliveira', 'Giane Vargas Escobar', 'Benjamin Xavier de Paula', 'Luciane Ribeiro Dias Gonçalves']","['1', '2', '3', '4', '5']",['4']
