PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Voz: Sonologia e Performance,2010,ATUAL,PESQUISA,"['Mônica Pedrosa de Pádua', 'Luciana Monteiro Castro', 'Cristina de Souza Gusmão']","['SIM', 'NAO', 'NAO']"
A canção brasileira de câmara,2003,ATUAL,PESQUISA,"['Mônica Pedrosa de Pádua', 'Margarida Borghoff', 'Luciana Monteiro de Castro', 'Fernando Araújo', 'Cecília Nazaré de Lima', 'Mauro Chantal', 'Flávio Carvalho', 'Flávio Barbeitas', 'Marcus Medeiros']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Programa Selo de Gravação e Edição Minas de Som,2009,ATUAL,EXTENSAO,"['Mônica Pedrosa de Pádua', 'Margarida Borghoff', 'Luciana Monteiro de Castro']","['NAO', 'NAO', 'SIM']"
Vozes no Hospital da Baleia,2014,2015,EXTENSAO,"['Mônica Pedrosa de Pádua', 'Luciana Monteiro de Castro', 'Mauro Chantal', 'Patrícia Valadão']","['NAO', 'NAO', 'SIM', 'NAO']"
A canção de câmara de Francisco Braga,2014,ATUAL,PESQUISA,"['Mônica Pedrosa de Pádua', 'Margarida Borghoff', 'Luciana Monteiro de Castro', 'Cecília Nazaré de Lima']","['SIM', 'NAO', 'NAO', 'NAO']"
Plano UFMG de Cultura,2015,2015,EXTENSAO,"['Mônica Pedrosa de Pádua', 'Leda Maria Martins']","['NAO', 'SIM']"
Evento A interpretação da música antiga: masterclass com Victor de Souza Soares,2016,2016,EXTENSAO,['Mônica Pedrosa de Pádua'],['SIM']
Ópera Studio da Escola de Música da UFMG,2019,ATUAL,EXTENSAO,"['Mônica Pedrosa de Pádua', 'Lincoln Andrade', 'Patrícia Cardoso Chaves Pereira']","['SIM', 'NAO', 'NAO']"
"III Colóquio Internacional Escrita, som, imagem",2021,ATUAL,EXTENSAO,"['Mônica Pedrosa de Pádua', 'Cecília Nazaré de Lima', 'Luciana Monteiro de Castro Silva Dutra', 'Thais Flores Nogueira Diniz', 'Márcia Maria Valle Arbex']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Estudos da Canção de Câmara Brasileira para Canto e Violão,2005,ATUAL,PESQUISA,"['Mônica Pedrosa de Pádua', 'Fernando Araújo']","['SIM', 'NAO']"
