TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Do Funcionário e de suas implicações,2006,,Português,FLUSSER STUDIES,B3,1661-5719,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
A relação entre língua e imagem em Vilém Flusser,2008,,Português,Ghrebh,XX,1679-9100,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
A arte e o vazio da cultura,2011,,Português,FLUSSER STUDIES,B3,1661-5719,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
Imagem como língua: uma leitura flusseriana,2013,,Português,FLUSSER STUDIES,B3,1661-5719,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
O mundo da arte como proposta,2014,,Português,PARALAXE,B3,2318-9215,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
O fim da arte como um começo,2014,,Português,REDESCRIÇÕES,XX,1984-7157,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
A filosofia e os limites da arte,2014,,Português,Artefilosofia (UFOP),XX,1809-8273,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
A destradicionalização da arte,2014,,Português,VISO : CADERNOS DE ESTÉTICA APLICADA,A4,1981-4062,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
Arte + Técnica = Artifício,2015,,Português,REVISTA ECO-PÓS (ONLINE),A2,2175-8689,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
Por uma arte no mundo da vida,2016,,Português,VISO : CADERNOS DE ESTÉTICA APLICADA,A4,1981-4062,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
A não discursividade da arte contemporânea,2016,,Português,REVISTA ECO-PÓS (ONLINE),A2,2175-8689,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
Vilém Flusser e a Filosofia da Literatura,2017,,Português,Artefilosofia,A4,2526-7892,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
ARTHUR DANTO E A EXPERIÊNCIA ESTÉTICA,2018,10.1590/0100-512x2017n13913rc,Português,KRITERION,A1,1981-5336,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
A importância da arte para a estética em Theodor Adorno,2017,,Português,O QUE NOS FAZ PENSAR (PUCRJ),A2,0104-6675,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
Após o fim da arte europeia: uma análise decolonial do pensamento sobre a produção artística,2018,10.5380/dp.v15i2.62705,Português,DOIS PONTOS (UFPR) DIGITAL,XX,2179-7412,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
Pensar por imagens: Vilém Flusser e a construção do pensamento na atualidade,2018,,Português,REVISTA SÍSIFO,B3,2359-3121,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
Ficção como fruto da falta de fundamento: a fenomenologia especulativa de Vilém Flusser.,2018,,Português,VISO : CADERNOS DE ESTÉTICA APLICADA,A4,1981-4062,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
Between images and texts: Vilém Flusser at the intersection of art and the post-historic crisis,2021,10.25038/am.v0i26.471,Português,AM JOURNAL OF ART AND MEDIA STUDIES (ONLINE),B1,2406-1654,"['Debora Pazetto Ferreira', 'Rachel Cecília de Oliveira Costa']","['1', '2']",['2'],-99
Absurdo! A repetição na obra de Eva Hesse,2021,10.11606/issn.2178-0447.ars.2021.183733,Português,ARS (SÃO PAULO),A1,2178-0447,"['Luiza Alcântara', 'Rachel Cecília de Oliveira Costa']","['1', '2']",['2'],-99
A equivocidade da crítica,2017,,Português,RAPSÓDIA (USP),B2,1519-6453,['Rachel Cecília de Oliveira Costa'],['1'],['1'],-99
