TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
El Imperio de los Incas,2008,Espanhol,Fondo Editorial IPASME,['Jenny González Muñoz'],['1'],['1']
"Vaudou, fe que llena de encanto a La Perla Negra de El Caribe",2009,Espanhol,Fondo Editorial IPASME,['Jenny González Muñoz'],['1'],['1']
Políticas públicas en materia cultural en Venezuela. Participación ciudadana en procesos de desarrollo,2012,Português,Universidade Federal de Pelotas,['Jenny González Muñoz'],['1'],['1']
Chávez y el ejercicio de la identidad nacional,2013,Espanhol,Universidad Nacional Experimental Simón Rodríguez - Dirección de Publicaciones y Comunicación,['Jenny González Muñoz'],['1'],['1']
Conflictos y dilemas en la construcción de los lugares de memoria,2013,Espanhol,Universidad Nacional Experimental Simón Rodríguez - Dirección de Publicaciones y Comunicación,"['Jenny González Muñoz', 'María Leticia Mazzucchi Ferreira']","['1', '2']",['1']
"HOW TO REGISTER MEMORY? DOCUMENTATION, RECORDING, ARCHIVING AND PRESERVATION OF INTANGIBLE CULTURAL HERITAGE IN VENEZUELA",2012,Inglês,ICCROM,['Jenny González Muñoz'],['1'],['1']
Múltiples miradas sobre el patrimonio cultural inmaterial,2015,Espanhol,UNIVERSIDAD LATINOAMERICANA Y DEL CARIBE,['Jenny González Muñoz'],['1'],['1']
Educación patrimonio-ambiental frente al deterioro artístico en la ciudad contemporanea,2016,Espanhol,Fondo Editorial de la Universidad Latinoamericana y del Caribe,['Jenny González Muñoz'],['1'],['1']
Desafíos y alcances de la educación en Patrimonio en Venezuela: Aspectos de la Cultura Inmaterial,2017,Espanhol,Centro Paula Souza,['Jenny González Muñoz'],['1'],['1']
Educación para el patrimonio: el Cementerio Vera Cruz como espacio de arte y memoria,2018,Espanhol,Projeto Passo Fundo,['Jenny González Muñoz'],['1'],['1']
Educación en sociedad: deterioro del patrimonio cultural. Minimización de la memoria histórica,2018,Espanhol,Centro Paula Souza,['Jenny González Muñoz'],['1'],['1']
Educación en sociedad: deterioro del patrimonio cultural. Minimización de la memoria histórica,2018,Espanhol,Centro Paula Souza,['Jenny González Muñoz'],['1'],['1']
ESCRITOS DE LA MUERTE EN LA PRENSA DE PASSO FUNDO (1900-1930),2019,Espanhol,BasiBooks,['Jenny González Muñoz'],['1'],['1']
Processos memoriais de imigrantes no cemitério: outra leitura do museu a céu aberto,2019,Português,Casaletras,['Jenny González Muñoz'],['1'],['1']
Memorias y lenguajes del más allá: el cementerio como lugar antropológico,2020,Espanhol,Escola de Belas Artes: UFRJ,['Jenny González Muñoz'],['1'],['1']
Gerencia de la documentacion musical en la enseñanza: fundación bandolas de Venezuela (FUBANVE),2020,Espanhol,Centro Paula Souza,"['Jenny González Muñoz', 'Gabriel GOMEZ CEREZO']","['1', '2']",['1']
Gerencia de la documentacion musical en la enseñanza: fundación bandolas de Venezuela (FUBANVE),2020,Espanhol,Centro Paula Souza,"['Jenny González Muñoz', 'Gabriel GOMEZ CEREZO']","['1', '2']",['1']
Padre Paulo Fabres Jacques,2021,Espanhol,Centro de Investigaciones Culturales ?Mariano Picón Salas? (CIMAPISA),['Jenny González Muñoz'],['1'],['1']
Presencia Inmaterial del Nazareno de San Pablo como imagen devocional en Venezuela,2022,Espanhol,CEEINTER,['Jenny González Muñoz'],['1'],['1']
Desafíos y alcances de la educación en Patrimonio en Venezuela: Aspectos de la Cultura Inmaterial,2017,Português,Centro Paula Souza,['Jenny González Muñoz'],['1'],['1']
