COURSE,YEAR,INTEGRANTES
Oficina Laboratório de Pesquisa sonora - Festival infantil - XXI  Festival de Inverno da UFMG,1989,['Glaura Lucas']
Apreciação Musical,1993,['Glaura Lucas']
O silêncio na Música Contemporânea - John Cage,1994,['Glaura Lucas']
Processos de transformação discursiva da música negra nas Américas,1997,['Glaura Lucas']
Ritmos do Congado: uma abordagem etnomusicolõgica,1999,['Glaura Lucas']
Reflexões sobre imagens do congado em Minas Gerais,2002,['Glaura Lucas']
Reflexões acerca de métodos de pesquisa,2002,['Glaura Lucas']
Etnografia musical,2006,['Glaura Lucas']
Iniciação à pesquisa,2002,['Glaura Lucas']
Abordagem etnográfica no congado em Minas Gerais,2007,['Glaura Lucas']
Research Seminar - Music and time in afro-brazilian congado rituals,2005,['Glaura Lucas']
Oficina Artes Integradas (música) - XXIII Festival de Inverno da UFMG,1991,['Glaura Lucas']
Musicalização - XXV Festival de Inverno da UFMG,1993,['Glaura Lucas']
"Research Seminar - Rosary, ngoma and time organization in the ritual music of Brazilian Congado",2004,['Glaura Lucas']
Time organization in the ritual music of Brazilian Congado,2004,['Glaura Lucas']
Music and Ritual: Rhythmic Ritual in  Brazilian Congado,2004,['Glaura Lucas']
Os Sons do Rosário - Encontro Internacional de Etnomusicologia,2000,"['Glaura Lucas', 'Cássia Aparecida da Luz', 'Carlos Antônio da Luz', 'Geraldo Bonifácio da Luz', 'José Bonifácio da Luz', 'Mário Brás da Luz']"
Análise Etnomusicológica: a música como cultura e sociedade,2007,['Glaura Lucas']
Introdução 'a pesquisa etnomusicológica: a observação de campo,2004,['Glaura Lucas']
Transcrição em Etnomusicologia,2004,['Glaura Lucas']
Educação Musical e Diversidade Cultural,2008,['Glaura Lucas']
Etnomusicologia e Diversidade Cultural,2008,['Glaura Lucas']
Educação Musical e Diversidade Cultural,2010,['Glaura Lucas']
Metodologia da Educação Musical,2007,['Glaura Lucas']
Sons e significados na Música Afro-Brasileira,2010,['Glaura Lucas']
Oficina: Cantos afro-brasileiros: brincando e resistindo na tradição - 45o. Festival de Inverno da UFMG,2013,"['Glaura Lucas', 'João Batista da Luz', 'José Bonifácio da Luz', 'Jorge Antônio dos Santos']"
Etnomusicologia - 6º Seminário de Conexão do curso de Ciências Sociais da PUC-MG,2005,['Glaura Lucas']
Os Sons do Rosário em Minas Gerais,2022,['Glaura Lucas']
Expressões Musicais e Alteridade,1999,['Glaura Lucas']
Musicalização Infantil - XXI Festival de Inverno de Itabira,1995,['Glaura Lucas']
Musicalização Infantil - XX Festival de Invrno de Itabira,1994,"['Glaura Lucas', 'Rafael Anderson G. Santos']"
Music and Cultural Contact: African roots in Brazilian popular music,2004,"['Glaura Lucas', 'Heloísa Feichas']"
Inventário e Registro do Patrimônio Imaterial do Estado de Minas Gerais,2006,['Glaura Lucas']
Educação musical e diversidade cultural,2006,['Glaura Lucas']
Reflexões sobre o conceito de folclore,2004,['Glaura Lucas']
